metric_family,metric_name,sensitivity_type,specification,n_sad,n_hc,effect_size,ci_low,ci_high,p_value,q_value,direction,robustness_label
Geometry,Neural_Dist_Safety_Background,Mask,FearNetwork,23,31,-0.1614270984330948,-0.7271619606066112,0.40430776374042166,0.7991940438274079,0.8224856398441723,SAD < HC,Direction only
Geometry,Neural_Dist_Safety_Background,Mask,MemoryFearNetwork,19,31,-0.129271407435066,-0.5977263386086864,0.33918352373855437,0.3951368493867481,0.5845043607241903,SAD < HC,Direction only
Geometry,Neural_Dist_Safety_Background,Mask,Schaefer,20,22,-0.07785637892243372,-0.5031079863114248,0.34739522846655735,0.3570344130415258,0.37908288267199763,Near zero,Weak / inconsistent
Geometry,Neural_Dist_Safety_Background,Mask,Tian,21,12,-0.1381556486999912,-0.5675020151550723,0.29119071775508987,0.6456330297660793,0.7393046102120976,SAD < HC,Direction only
Geometry,Neural_Dist_Safety_Background,Mask,WholeBrain,21,24,-0.0800744700561202,-0.5126435855579337,0.3524946454456932,0.35199119702137965,0.39102513577251474,Near zero,Weak / inconsistent
Geometry,Neural_Dist_Safety_Background,Subgroup,AllPlacebo,27,32,-0.13835406174700435,-0.5118719918315863,0.23516386833757755,0.9457168609247415,1.0,SAD < HC,Direction only
Geometry,Neural_Dist_Safety_Background,Subgroup,SCR_Physiological_Responder,23,19,-0.11231617690150746,-0.6440228583049593,0.41939050450194443,0.35897961511720533,0.48226519493810927,SAD < HC,Direction only
Geometry,Neural_Dist_Safety_Background,Subgroup,SCR_Simple_Acquisition_Differential_Learner,26,27,-0.17585931151522186,-0.5631003119678321,0.21138168893738837,0.6134901387362968,0.6566328299611643,SAD < HC,Direction only
Geometry,Neural_Dist_Safety_Background,Subgroup,SCR_Habituation_Adjusted_Learner,29,20,-0.07512950635237109,-0.5741899051677355,0.4239308924629933,0.44699962829811013,0.47779435852361607,Near zero,Weak / inconsistent
Geometry,Neural_Dist_Safety_Background,Subgroup,SCR_Late_Phase_Sensitivity_Learner,14,31,-0.0675673456689796,-0.4256056493022,0.29047095796424083,0.35206740949473925,0.4365816703504933,Near zero,Weak / inconsistent
Geometry,Neural_Dist_Threat_Safety,Mask,FearNetwork,28,19,0.10371456719320868,-0.3551519624445677,0.562581096830985,0.6992879455529695,0.8772449913877394,SAD > HC,Direction only
