status,outcome,term,estimate,std_error,t,p,ci_low,ci_high,n,r2,formula,analysis,session,Group,metric,metric_z,clinical_score,clinical_score_z,clinical_outlier_method,metric_outlier_method,clinical_outlier_threshold,n_clinical_outliers_removed,n_metric_outliers_removed,covariates_used,covariate_outliers_removed,clinical_score_order,clinical_score_role,clinical_score_family,clinical_score_label,metric_order,metric_role,aim2_question,aim2_question_label,is_primary_clinical_score,is_primary_neural_metric,q_within_group_question,q_within_group_clinical_score
ok,z_dass_anxiety,Q('z_Neural_Threat_Safety_Distance'),-0.25473587045459456,0.21928681515814175,-1.1616561181340894,0.26054809616300245,-0.71544037355458,0.2059686326453909,22,0.17685806459775133,Q('z_dass_anxiety') ~ Q('z_Neural_Threat_Safety_Distance') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Neural_Threat_Safety_Distance,z_Neural_Threat_Safety_Distance,dass_anxiety,z_dass_anxiety,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,1,"z_demo_age,Gender",demo_age:0,1,primary,general_anxiety,DASS anxiety,1,primary,Q1_geometry,Where are safety and threat in neural space?,True,True,0.4559591682852543,0.3908221442445037
ok,z_dass_anxiety,Q('z_Prototype_Certainty'),-0.3979888393446899,0.20910951135878492,-1.9032555561847713,0.0722694523080434,-0.8356600766241846,0.039682397934804825,23,0.24500284723404708,Q('z_dass_anxiety') ~ Q('z_Prototype_Certainty') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Prototype_Certainty,z_Prototype_Certainty,dass_anxiety,z_dass_anxiety,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,1,primary,general_anxiety,DASS anxiety,2,primary,Q2_decision_certainty,Are safety and threat cues represented decisively or ambiguously?,True,True,0.5058861661563038,0.2168083569241302
ok,z_dass_anxiety,Q('z_Neural_DynamicDiscrimination_Volatility'),-0.10484293104417945,0.23100878927935126,-0.4538482339621995,0.6550794777684188,-0.5883498837855913,0.3786640216972324,23,0.11070222061684487,Q('z_dass_anxiety') ~ Q('z_Neural_DynamicDiscrimination_Volatility') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Neural_DynamicDiscrimination_Volatility,z_Neural_DynamicDiscrimination_Volatility,dass_anxiety,z_dass_anxiety,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,1,primary,general_anxiety,DASS anxiety,3,primary,Q3_learning_dynamics,How do safety and threat representations change over learning?,True,True,0.7899692103492679,0.6550794777684188
ok,z_lsas_total,Q('z_Neural_Threat_Safety_Distance'),-0.5553924414349816,0.19755286401583352,-2.811361122005641,0.011551903783605716,-0.9704356075585715,-0.14034927531139163,22,0.3448041616515143,Q('z_lsas_total') ~ Q('z_Neural_Threat_Safety_Distance') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Neural_Threat_Safety_Distance,z_Neural_Threat_Safety_Distance,lsas_total,z_lsas_total,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,1,"z_demo_age,Gender",demo_age:0,2,primary,social_anxiety_total,LSAS total,1,primary,Q1_geometry,Where are safety and threat in neural space?,True,True,0.04043166324262001,0.03465571135081715
ok,z_lsas_total,Q('z_Prototype_Certainty'),0.03944884790932767,0.23327963280784786,0.16910540982298972,0.8675010912852743,-0.44881103496102487,0.5277087307796802,23,0.06038187514390203,Q('z_lsas_total') ~ Q('z_Prototype_Certainty') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Prototype_Certainty,z_Prototype_Certainty,lsas_total,z_lsas_total,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,2,primary,social_anxiety_total,LSAS total,2,primary,Q2_decision_certainty,Are safety and threat cues represented decisively or ambiguously?,True,True,0.9642892619139072,0.8675010912852743
ok,z_lsas_total,Q('z_Neural_DynamicDiscrimination_Volatility'),0.07458552974148708,0.23701637665168362,0.3146851318679007,0.7564302994759089,-0.42149544787917576,0.57066650736215,23,0.06384683660283841,Q('z_lsas_total') ~ Q('z_Neural_DynamicDiscrimination_Volatility') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Neural_DynamicDiscrimination_Volatility,z_Neural_DynamicDiscrimination_Volatility,lsas_total,z_lsas_total,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,2,primary,social_anxiety_total,LSAS total,3,primary,Q3_learning_dynamics,How do safety and threat representations change over learning?,True,True,0.7899692103492679,0.8675010912852743
ok,z_lsas_fear,Q('z_Neural_Threat_Safety_Distance'),-0.6290683508724051,0.18962497004108497,-3.3174341477080174,0.003830956337126142,-1.0274556298117523,-0.23068107193305792,22,0.3865385516185451,Q('z_lsas_fear') ~ Q('z_Neural_Threat_Safety_Distance') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Neural_Threat_Safety_Distance,z_Neural_Threat_Safety_Distance,lsas_fear,z_lsas_fear,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,1,"z_demo_age,Gender",demo_age:0,3,secondary,social_anxiety_subscale,LSAS fear,1,primary,Q1_geometry,Where are safety and threat in neural space?,False,True,0.026816694359882997,0.011492869011378427
ok,z_lsas_fear,Q('z_Prototype_Certainty'),0.06259042607959214,0.2368701024916584,0.2642394520084962,0.7944403768391473,-0.43318439620559956,0.5583652483647839,23,0.031235456438263753,Q('z_lsas_fear') ~ Q('z_Prototype_Certainty') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Prototype_Certainty,z_Prototype_Certainty,lsas_fear,z_lsas_fear,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,3,secondary,social_anxiety_subscale,LSAS fear,2,primary,Q2_decision_certainty,Are safety and threat cues represented decisively or ambiguously?,False,True,0.9642892619139072,0.7944403768391473
ok,z_lsas_fear,Q('z_Neural_DynamicDiscrimination_Volatility'),0.07258744982313159,0.24097724082764005,0.30122118409949783,0.7665175898848371,-0.43178371179405195,0.5769586114403151,23,0.03229662708861669,Q('z_lsas_fear') ~ Q('z_Neural_DynamicDiscrimination_Volatility') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Neural_DynamicDiscrimination_Volatility,z_Neural_DynamicDiscrimination_Volatility,lsas_fear,z_lsas_fear,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,3,secondary,social_anxiety_subscale,LSAS fear,3,primary,Q3_learning_dynamics,How do safety and threat representations change over learning?,False,True,0.7899692103492679,0.7944403768391473
ok,z_lsas_avoid,Q('z_Neural_Threat_Safety_Distance'),-0.3881903995690178,0.212645903266894,-1.8255249389018142,0.08456043786055405,-0.8349428645093826,0.058562065371347005,22,0.24501531479293603,Q('z_lsas_avoid') ~ Q('z_Neural_Threat_Safety_Distance') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Neural_Threat_Safety_Distance,z_Neural_Threat_Safety_Distance,lsas_avoid,z_lsas_avoid,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,1,"z_demo_age,Gender",demo_age:0,4,secondary,social_anxiety_subscale,LSAS avoidance,1,primary,Q1_geometry,Where are safety and threat in neural space?,False,True,0.19730768834129278,0.2536813135816622
ok,z_lsas_avoid,Q('z_Prototype_Certainty'),0.010491781040168143,0.23127138600620473,0.04536566853924014,0.9642892619139072,-0.4735647929671569,0.49454835504749317,23,0.07649012065890637,Q('z_lsas_avoid') ~ Q('z_Prototype_Certainty') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Prototype_Certainty,z_Prototype_Certainty,lsas_avoid,z_lsas_avoid,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,4,secondary,social_anxiety_subscale,LSAS avoidance,2,primary,Q2_decision_certainty,Are safety and threat cues represented decisively or ambiguously?,False,True,0.9642892619139072,0.9642892619139072
