trajectory,cue,contrast,window,trial,SAD_minus_HC_d,t,p,SAD_mean,HC_mean,SAD_n,HC_n
CSR_to_early_reinstatement_CSR,CSR,SAD-HC,trial_1,1.0,-0.011221829449736511,-0.04038050989981112,0.9679575320209659,0.013556904506870027,0.015666981964795806,22,28
CSR_to_early_reinstatement_CSR,CSR,SAD-HC,trial_2,2.0,0.0112218294497365,0.040380509899811096,0.9679575320209659,-0.013556904506870032,-0.01566698196479581,22,28
CSR_to_early_reinstatement_CSR,CSR,SAD-HC,trial_3,3.0,0.12665933528979909,0.4523945763797372,0.6530443314575567,0.20621124532609966,0.1820996131840599,22,28
CSR_to_early_reinstatement_CSR,CSR,SAD-HC,trial_4,4.0,0.00828083935428677,0.029169705895415902,0.9768559118353526,0.2166847671802837,0.2149935471757774,22,28
CSR_to_early_reinstatement_CSR,CSR,SAD-HC,trial_5,5.0,0.14525779278623482,0.5022301120673937,0.6181105161330813,0.2158995331585701,0.1865782318540228,22,28
CSR_to_early_reinstatement_CSR,CSR,SAD-HC,trial_6,6.0,0.13070502351792226,0.44849477999722825,0.6561801178404589,0.21545219361450887,0.18995663945807736,22,28
CSR_to_early_reinstatement_CSR,CSR,SAD-HC,trial_7,7.0,0.09109891111819723,0.318446786739651,0.7516355702358839,0.23835413379118178,0.220489035392377,22,28
CSR_to_early_reinstatement_CSR,CSR,SAD-HC,trial_8,8.0,0.1984888655230054,0.7408292874098291,0.46269368838445035,0.1721499288181344,0.11389687633459458,22,28
CSS_to_CSminus,CSS,SAD-HC,trial_1,1.0,-0.44960675859090987,-1.5595219113871321,0.12620745425663896,-0.09409636521607288,0.006341806440419258,22,28
CSS_to_CSminus,CSS,SAD-HC,trial_2,2.0,0.4496067585909098,1.559521911387132,0.12620745425663896,0.09409636521607288,-0.006341806440419254,22,28
CSS_to_CSminus,CSS,SAD-HC,trial_3,3.0,-0.13159929599495027,-0.4553943930716063,0.6511448437495442,0.6923207262227726,0.7234461737401979,22,28
CSS_to_CSminus,CSS,SAD-HC,trial_4,4.0,-0.20495594235410408,-0.7296689726717636,0.46919846469120996,0.7593444471944074,0.8069691049810039,22,28
CSS_to_CSminus,CSS,SAD-HC,trial_5,5.0,0.14770679778872287,0.534428418294433,0.5955121563363643,0.770117055715856,0.7336074230146297,22,28
CSS_to_CSminus,CSS,SAD-HC,trial_6,6.0,0.5459110656449435,1.911580153320383,0.06233614782486478,0.7920976842860704,0.6533524410761962,22,28
CSS_to_CSminus,CSS,SAD-HC,trial_7,7.0,-0.07498728011064129,-0.2535677854579875,0.8012252203555875,0.6861554792130641,0.7069437770256872,22,28
CSS_to_CSminus,CSS,SAD-HC,trial_8,8.0,-0.2577150740029235,-0.8146961446146697,0.42335828387135654,0.605758039956096,0.7465257844806423,22,28
CSR_to_early_reinstatement_CSR,CSR,SAD-HC,early_1_2,,-0.3565894087953731,-1.2148714279063704,0.23172607830774822,-3.124473533435499e-18,-1.2526407242823596e-18,22,28
CSR_to_early_reinstatement_CSR,CSR,SAD-HC,mid_3_6,,0.10963538740989277,0.38254927261288424,0.7038888179869083,0.21356193481986557,0.19340700791798437,22,28
CSR_to_early_reinstatement_CSR,CSR,SAD-HC,late_5_8,,0.17303379211503955,0.6056686728600957,0.5477942700655946,0.21046394734559878,0.17773019575976792,22,28
CSR_to_early_reinstatement_CSR,CSR,SAD-HC,all_1_8,,0.14100772337357628,0.4944602751799637,0.6233825243075307,0.1580939752360973,0.13850174292486364,22,28
CSR_to_early_reinstatement_CSR,CSR,SAD-HC,analysis_3_8,,0.1410077233735764,0.49446027517996405,0.6233825243075305,0.2107919669814631,0.18466899056648486,22,28
CSS_to_CSminus,CSS,SAD-HC,early_1_2,,-0.23816621723051376,-0.8721876571087059,0.3875023424655375,-2.7597873481449202e-18,4.64658073922359e-19,22,28
CSS_to_CSminus,CSS,SAD-HC,mid_3_6,,0.16599223036829333,0.5893797511634431,0.5584345673770728,0.7534699783547766,0.729343785703007,22,28
CSS_to_CSminus,CSS,SAD-HC,late_5_8,,0.017090988970677252,0.05697620405995642,0.9548983793103905,0.7135320647927718,0.7101073563992889,22,28
CSS_to_CSminus,CSS,SAD-HC,all_1_8,,-0.06746936509603838,-0.2269258815089885,0.8217664195245924,0.5382241790735333,0.5463555880397946,22,28
CSS_to_CSminus,CSS,SAD-HC,analysis_3_8,,-0.06746936509603975,-0.22692588150899312,0.8217664195245888,0.717632238764711,0.728474117386393,22,28
