trajectory,cue,Group,trial,mean,sem,sd,n
CSR_to_early_reinstatement_CSR,CSR,HC,1,0.015666981964795813,0.03849153020906509,0.20367803303103252,28
CSR_to_early_reinstatement_CSR,CSR,HC,2,-0.015666981964795813,0.03849153020906508,0.20367803303103252,28
CSR_to_early_reinstatement_CSR,CSR,HC,3,0.1820996131840599,0.038114577519312874,0.20168338688478998,28
CSR_to_early_reinstatement_CSR,CSR,HC,4,0.2149935471757774,0.03908426258095834,0.20681447793112653,28
CSR_to_early_reinstatement_CSR,CSR,HC,5,0.18657823185402284,0.03600364597684643,0.1905133870926936,28
CSR_to_early_reinstatement_CSR,CSR,HC,6,0.18995663945807736,0.03367357248972663,0.1781837971258456,28
CSR_to_early_reinstatement_CSR,CSR,HC,7,0.22048903539237702,0.036511363206363785,0.19319997414398488,28
CSR_to_early_reinstatement_CSR,CSR,HC,8,0.11389687633459457,0.06592572257260189,0.3488461338586838,28
CSR_to_early_reinstatement_CSR,CSR,SAD,1,0.013556904506870025,0.03534078909035674,0.16576299411400516,22
CSR_to_early_reinstatement_CSR,CSR,SAD,2,-0.013556904506870032,0.03534078909035674,0.16576299411400516,22
CSR_to_early_reinstatement_CSR,CSR,SAD,3,0.20621124532609966,0.03725498138638588,0.1747413518266329,22
CSR_to_early_reinstatement_CSR,CSR,SAD,4,0.21668476718028373,0.04282456796698774,0.2008650284999889,22
CSR_to_early_reinstatement_CSR,CSR,SAD,5,0.2158995331585701,0.04595888732518279,0.2155662894139866,22
CSR_to_early_reinstatement_CSR,CSR,SAD,6,0.21545219361450885,0.04580026936734819,0.21482230524476822,22
CSR_to_early_reinstatement_CSR,CSR,SAD,7,0.23835413379118178,0.04259357562990167,0.19978157840172192,22
CSR_to_early_reinstatement_CSR,CSR,SAD,8,0.1721499288181344,0.0428582002895841,0.20102277807593436,22
CSS_to_CSminus,CSS,HC,1,0.006341806440419254,0.04036835158974033,0.21360923828814368,28
CSS_to_CSminus,CSS,HC,2,-0.006341806440419254,0.04036835158974033,0.21360923828814365,28
CSS_to_CSminus,CSS,HC,3,0.7234461737401979,0.042334089212114116,0.22401094407135255,28
CSS_to_CSminus,CSS,HC,4,0.8069691049810039,0.04605396650880841,0.2436946845408092,28
CSS_to_CSminus,CSS,HC,5,0.7336074230146297,0.05139124738655337,0.2719369203004366,28
CSS_to_CSminus,CSS,HC,6,0.653352441076196,0.04761907067963687,0.25197643736465336,28
CSS_to_CSminus,CSS,HC,7,0.7069437770256872,0.044559237020153825,0.23578531953221962,28
CSS_to_CSminus,CSS,HC,8,0.7465257844806422,0.04237333646660069,0.22421862102137965,28
CSS_to_CSminus,CSS,SAD,1,-0.09409636521607288,0.050181330094436705,0.23537130152384772,22
CSS_to_CSminus,CSS,SAD,2,0.09409636521607286,0.050181330094436705,0.23537130152384772,22
CSS_to_CSminus,CSS,SAD,3,0.6923207262227726,0.05365929073768676,0.25168438293699336,22
CSS_to_CSminus,CSS,SAD,4,0.7593444471944074,0.0462499242863746,0.21693137376345184,22
CSS_to_CSminus,CSS,SAD,5,0.770117055715856,0.04501020575331263,0.21111657841823273,22
CSS_to_CSminus,CSS,SAD,6,0.7920976842860706,0.05477672652128793,0.25692562134698704,22
CSS_to_CSminus,CSS,SAD,7,0.6861554792130641,0.06881656090026315,0.32277828178344314,22
CSS_to_CSminus,CSS,SAD,8,0.6057580399560959,0.1675092727030144,0.7856881326027795,22
