Group,trial,mean,sem,sd,n
HC,1,-0.14502372474576936,0.027494747488703557,0.1454885284312546,28
HC,2,-0.11112844339866701,0.026328411967238192,0.13931686096113818,28
HC,3,-0.1280852056683885,0.027620754779624383,0.14615529634156954,28
HC,4,-0.05855925160683461,0.025298378924070882,0.13386643841233867,28
HC,5,-0.06196206654849852,0.022352916391395458,0.11828051569730344,28
HC,6,-0.16776568313552523,0.02658899262082359,0.14069572417286147,28
HC,7,-0.13523265356845696,0.02210262638697875,0.1169561054826397,28
HC,8,-0.12463608479215825,0.023733623268226298,0.1255865297564456,28
SAD,1,-0.13375373743838959,0.021814367941073328,0.1023184551813973,22
SAD,2,-0.0878336382457931,0.02125698730052987,0.09970410824077182,22
SAD,3,-0.1298252253373806,0.023382236987054494,0.10967241286400671,22
SAD,4,-0.11317052790107826,0.02156458304568874,0.1011468601715196,22
SAD,5,-0.10627083035774065,0.021456492573891033,0.10063987091911288,22
SAD,6,-0.13593374898549407,0.02985417677023411,0.14002850121966062,22
SAD,7,-0.15891417009039563,0.025764623527725516,0.1208467962403613,22
SAD,8,-0.16627401350158622,0.03788882151452727,0.17771432555287575,22
