n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,p,index,trial,q_within_index
22,28,1.1327185708272007,1.1646719242581367,-0.03195335343093597,-0.23560139193105473,0.4025905120871821,CSR_ext_distance_from_safety,1,0.8029691155068166
22,28,1.1464190515422896,1.1675891629816688,-0.02117011143937919,-0.14596769886155744,0.6022268366301124,CSR_ext_distance_from_safety,2,0.8029691155068166
22,28,1.1046661321781188,1.1280189397898315,-0.023352807611712656,-0.17241324614782697,0.5415452220294505,CSR_ext_distance_from_safety,3,0.8029691155068166
22,28,1.1764652916009462,1.1777536425424848,-0.001288350941538674,-0.012289296273114614,0.9647746250322297,CSR_ext_distance_from_safety,4,0.9647746250322297
22,28,1.1142397322486017,1.1243085958195087,-0.010068863570906972,-0.08895910240233507,0.76554160163482,CSR_ext_distance_from_safety,5,0.8749046875826514
22,28,1.1063804934236572,1.1443309913690116,-0.03795049794535443,-0.29848048505296,0.2964859737711661,CSR_ext_distance_from_safety,6,0.8029691155068166
22,28,1.1669111274589892,1.1252249495175024,0.04168617794148677,0.28643235591817956,0.3288397526701796,CSR_ext_distance_from_safety,7,0.8029691155068166
22,28,1.1378693167159488,1.174996057823266,-0.037126741107317285,-0.27278811473631165,0.32617519215423596,CSR_ext_distance_from_safety,8,0.8029691155068166
22,28,-0.9972506924930411,-1.0100607844147664,0.01281009192172533,0.261819256915974,0.3495932646373999,CSR_ext_shock_distance_inverted,1,0.4775867685939013
22,28,-1.0013824666291138,-0.9870297433068088,-0.014352723322304972,-0.1750131334287718,0.5516350306300603,CSR_ext_shock_distance_inverted,2,0.5516350306300603
22,28,-0.9935919931505315,-1.0120309199833104,0.018438926832778924,0.3145270178285583,0.2637238626303387,CSR_ext_shock_distance_inverted,3,0.4775867685939013
22,28,-0.9855823878724496,-1.0216864093094558,0.036104021437006195,0.5030551613791358,0.09041048844958974,CSR_ext_shock_distance_inverted,4,0.36164195379835895
22,28,-0.9886808250120848,-1.0223237952837099,0.033642970271625106,0.5030535157391745,0.0737932154556263,CSR_ext_shock_distance_inverted,5,0.36164195379835895
22,28,-0.9966777424717254,-0.980590516462061,-0.01608722600966439,-0.2506767245337486,0.358190076445426,CSR_ext_shock_distance_inverted,6,0.4775867685939013
22,28,-1.0141325516554323,-0.9856997063444523,-0.028432845310980004,-0.42256582735010617,0.16002959303398573,CSR_ext_shock_distance_inverted,7,0.42674558142396196
22,28,-0.99735335522824,-0.9818970730586486,-0.015456282169591384,-0.22406422774984014,0.43151474201867257,CSR_ext_shock_distance_inverted,8,0.4931597051641972
22,28,0.13546787833415994,0.15461113984337055,-0.019143261509210613,-0.13900163069465463,0.6307011532755957,CSR_ext_shock_proximity,1,0.8409348710341277
22,28,0.14503658491317561,0.18055941967486017,-0.03552283476168455,-0.21510740139680928,0.4470222217608323,CSR_ext_shock_proximity,2,0.8409348710341277
22,28,0.11107413902758748,0.11598801980652106,-0.00491388077893358,-0.034382759485048625,0.9006245441662619,CSR_ext_shock_proximity,3,0.9006245441662619
22,28,0.19088290372849698,0.15606723323302935,0.03481567049546763,0.2680999951126469,0.3570076398287695,CSR_ext_shock_proximity,4,0.8409348710341277
22,28,0.1255589072365169,0.10198480053579886,0.023574106700718023,0.17509291956834258,0.5555553438810956,CSR_ext_shock_proximity,5,0.8409348710341277
22,28,0.10970275095193194,0.16374047490695082,-0.05403772395501888,-0.36165459556480634,0.1957814094727172,CSR_ext_shock_proximity,6,0.8409348710341277
22,28,0.1527785758035568,0.13952524317305035,0.01325333263050646,0.0754084544209597,0.7973722553958719,CSR_ext_shock_proximity,7,0.9006245441662619
22,28,0.14051596148770898,0.1930989847646176,-0.052583023276908614,-0.33339482539011256,0.23577340059936758,CSR_ext_shock_proximity,8,0.8409348710341277
