phase,metric,n_SAD,n_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,hedges_g_SAD_minus_HC,rank_biserial_SAD_vs_HC,p,q_within_phase_feature,scalar_auc_abs_direction,interpretation
phase2_extinction,Neural_PrototypeDynamicDiscrimination_Volatility,23,28,-0.112107083745404,-0.6734327003886046,-0.663072197305703,-0.3633540372670808,0.0177983203483967,0.4780577972283186,0.6816770186335404,Derived FearNetwork profile metric.
phase2_extinction,Neural_DynamicDiscrimination_Volatility,23,28,-0.1361464086173572,-0.6342352045657956,-0.6244777398801681,-0.391304347826087,0.0258316472592469,0.4780577972283186,0.6956521739130435,Derived FearNetwork profile metric.
phase2_extinction,Neural_Threat_Volatility,23,28,-0.0798257798990891,-0.5322713025272776,-0.5240825132576272,-0.217391304347826,0.0527338240962604,0.4780577972283186,0.6086956521739131,Trial-to-trial instability in threat evidence.
phase2_extinction,Neural_Safety_Volatility,23,28,-0.0378235551761948,-0.4500918247627954,-0.4431673351510601,-0.1956521739130434,0.1026496604595327,0.4780577972283186,0.5978260869565217,Trial-to-trial instability in safety evidence.
phase2_extinction,Neural_DynamicDiscriminationAUC,23,28,0.0437103160742581,0.385607678317862,0.3796752524975872,0.1987577639751552,0.18064460280272,0.5496083766571558,0.5993788819875776,Mean trialwise threat-vs-safety evidence separation across extinction trials.
phase2_extinction,Neural_Safety_LatePhaseEvidence,23,28,-0.0371243794663739,-0.3174080808759914,-0.3125248796317454,-0.2111801242236024,0.2484219556124633,0.6165594653596298,0.6055900621118012,Mean safety evidence during the last half of extinction trials.
phase2_extinction,Neural_Safety_LearningAUC,23,28,-0.0287610243015054,-0.2937784814022865,-0.2892588124576359,-0.1801242236024844,0.2794711320700429,0.6165594653596298,0.5900621118012422,Mean safety evidence across extinction trials.
phase2_extinction,Neural_DynamicDiscrimination_InitialFinal_Change,23,28,0.2325815535592626,0.2900073906025766,0.2855457384394601,0.1894409937888199,0.2947725289225368,0.6165594653596298,0.59472049689441,Derived FearNetwork profile metric.
phase2_extinction,Neural_DynamicDiscrimination_LatePhase,23,28,0.051400877802173,0.2303307097581481,0.2267871603772535,0.0900621118012421,0.4283828436125134,0.7267208954140854,0.5450310559006211,Late-phase separation between threat evidence and safety evidence.
phase2_extinction,Neural_Safety_Trajectory_Slope,23,28,-0.0067658885158237,-0.2128406282538327,-0.2095661570499276,-0.1863354037267081,0.438595360144981,0.7309922669083018,0.5931677018633541,Trialwise change in safety evidence across extinction/reinstatement trials.
phase2_extinction,Neural_PrototypeDynamicDiscriminationAUC,23,28,0.0339608494578519,0.1827410055360117,0.1799296054508423,0.0372670807453416,0.4882715416231011,0.7613377727953331,0.5186335403726708,Derived FearNetwork profile metric.
phase2_extinction,Neural_Safety_InitialFinal_Change,23,28,-0.0380029163293501,-0.1473333752339571,-0.1450667079226655,-0.0993788819875777,0.6011361812043272,0.8785836494524782,0.5496894409937889,Derived FearNetwork profile metric.
phase2_extinction,Neural_PrototypeDynamicDiscrimination_EarlyLate_Change,23,28,0.0351675300543361,0.1365284579724597,0.1344280201574988,0.1335403726708075,0.6210625068926053,0.8939536084060228,0.5667701863354038,Derived FearNetwork profile metric.
phase2_extinction,Neural_Safety_EarlyLate_Change,23,28,-0.0167267103297369,-0.1164431103210086,-0.1146516778545316,-0.0993788819875776,0.672408119964502,0.9158230946829718,0.5496894409937888,Late-minus-early change in safety evidence; positive values indicate safety becomes more background-like over trials.
phase2_extinction,Neural_Threat_LatePhaseEvidence,23,28,0.0144202350186463,0.1065213952680692,0.1048826045716374,0.0403726708074532,0.697030082312147,0.9158230946829718,0.5201863354037266,Mean threat evidence during the last half of extinction trials.
phase2_extinction,Neural_Threat_EarlyLate_Change,23,28,0.0184408197245992,0.0923967990250686,0.0909753098092983,0.1614906832298137,0.7422987188483035,0.9158230946829718,0.5807453416149069,Late-minus-early change in threat evidence; negative values indicate declining threat evidence over trials.
phase2_extinction,Neural_Threat_Trajectory_Slope,23,28,0.0039439839547911,0.0750049261416649,0.0738510042010239,0.1490683229813663,0.7844954551864346,0.9433806106672314,0.5745341614906831,Trialwise change in threat evidence across extinction/reinstatement trials.
phase2_extinction,Neural_PrototypeDynamicDiscrimination_InitialFinal_Change,23,28,0.0297392995666954,0.0549526722805909,0.0541072465531972,0.1366459627329193,0.8369114413931613,0.944921861458252,0.5683229813664596,Derived FearNetwork profile metric.
phase2_extinction,Neural_Threat_LearningAUC,23,28,0.0051998251563467,0.0478432891998631,0.0471072385967883,-0.1304347826086955,0.8554029482674703,0.944921861458252,0.5652173913043478,Mean threat evidence across extinction trials.
phase2_extinction,Neural_DynamicDiscrimination_EarlyLate_Change,23,28,0.0153811234558297,0.0391049716889191,0.0385033567398588,-0.031055900621118,0.8916975247018135,0.9654994401182254,0.515527950310559,Late-minus-early change in threat-vs-safety evidence separation.
phase2_extinction,Neural_Threat_InitialFinal_Change,23,28,-0.0082636167626545,-0.0180459415836136,-0.0177683117130965,0.1428571428571428,0.9462145117009142,0.966563210877278,0.5714285714285714,Derived FearNetwork profile metric.
phase3_reinstatement,Neural_DynamicDiscrimination_Volatility,22,28,-0.0784600999146316,-0.42960243358887,-0.4228547513859035,-0.2272727272727273,0.1405877083740767,0.8128989899948013,0.6136363636363636,Derived FearNetwork profile metric.
phase3_reinstatement,Neural_DynamicDiscrimination_InitialFinal_Change,22,28,-0.241262690052831,-0.3557503793648332,-0.3501626770711447,-0.2045454545454545,0.2226790217077924,0.8238749337787478,0.6022727272727273,Derived FearNetwork profile metric.
phase3_reinstatement,Neural_Safety_LearningAUC,22,28,0.0146477206569983,0.3395712626610765,0.3342376826192795,0.1331168831168829,0.1908358188754255,0.8238749337787478,0.5665584415584415,Mean safety evidence across extinction trials.
phase3_reinstatement,Neural_Safety_LatePhaseEvidence,22,28,0.0138353791701266,0.3170231812791703,0.312043759583686,0.2077922077922078,0.2238669318719055,0.8238749337787478,0.6038961038961039,Mean safety evidence during the last half of extinction trials.
phase3_reinstatement,Neural_PrototypeDynamicDiscriminationAUC,22,28,-0.0241053810981922,-0.2851280571321383,-0.2806496059729948,-0.055194805194805,0.2698423146637989,0.8994743822126632,0.5275974025974025,Derived FearNetwork profile metric.
phase3_reinstatement,Neural_Threat_Trajectory_Slope,22,28,0.000853967566656,0.2609227138010221,0.2568244512805872,0.1623376623376622,0.4047970455888349,0.9101212637513242,0.5811688311688311,Trialwise change in threat evidence across extinction/reinstatement trials.
phase3_reinstatement,Neural_Threat_LearningAUC,22,28,-0.0094576604411939,-0.2208290013684032,-0.2173604830223026,0.0194805194805194,0.3947916692530218,0.9101212637513242,0.5097402597402597,Mean threat evidence across extinction trials.
phase3_reinstatement,Neural_Threat_LatePhaseEvidence,22,28,-0.008828664675204,-0.2078857751596202,-0.2046205535602544,0.0227272727272727,0.4266858822846386,0.9101212637513242,0.5113636363636364,Mean threat evidence during the last half of extinction trials.
phase3_reinstatement,Neural_Safety_InitialFinal_Change,22,28,0.0059437394799144,0.1788196941678005,0.1760110078719712,-0.0064935064935065,0.5357255922569782,0.9101212637513242,0.5032467532467533,Derived FearNetwork profile metric.
phase3_reinstatement,Neural_PrototypeDynamicDiscrimination_Volatility,22,28,-0.004564108189931,-0.1562247084954782,-0.1537709172625649,-0.0876623376623377,0.5780786272775151,0.9101212637513242,0.5438311688311689,Derived FearNetwork profile metric.
phase3_reinstatement,Neural_PrototypeDynamicDiscrimination_InitialFinal_Change,22,28,-0.0054487030365723,-0.1436160220278526,-0.1413602729907659,0.029220779220779,0.6020802206354914,0.9101212637513242,0.5146103896103895,Derived FearNetwork profile metric.
phase3_reinstatement,Neural_PrototypeDynamicDiscrimination_EarlyLate_Change,22,28,0.0028826745057232,0.1326329733411783,0.130549732922207,0.0487012987012986,0.6530683007552744,0.9433448347697058,0.5243506493506493,Derived FearNetwork profile metric.
phase3_reinstatement,Neural_Safety_EarlyLate_Change,22,28,-0.0016246829737433,-0.1179701329459472,-0.1161171989206182,0.0,0.6920736414254021,0.9634276011400672,0.5,Late-minus-early change in safety evidence; positive values indicate safety becomes more background-like over trials.
phase3_reinstatement,Neural_Threat_EarlyLate_Change,22,28,0.0012579915319798,0.0765389498754231,0.0753367674166468,-0.0129870129870131,0.8017681340382949,0.9987548280470194,0.5064935064935066,Late-minus-early change in threat evidence; negative values indicate declining threat evidence over trials.
phase3_reinstatement,Neural_DynamicDiscrimination_EarlyLate_Change,22,28,-0.0223296007163814,-0.0667923372680177,-0.0657432429653787,-0.0324675324675325,0.8126326596984796,0.9987548280470194,0.5162337662337663,Late-minus-early change in threat-vs-safety evidence separation.
phase3_reinstatement,Neural_Safety_Trajectory_Slope,22,28,-0.0002059444542627,-0.0654127110182582,-0.0643852862378667,0.0227272727272727,0.8247293391092414,0.9987548280470194,0.5113636363636364,Trialwise change in safety evidence across extinction/reinstatement trials.
phase3_reinstatement,Neural_Threat_Volatility,22,28,-0.0011842368765705,-0.0629282859338547,-0.0619398835369879,0.0194805194805194,0.820513509399337,0.9987548280470194,0.5097402597402597,Trial-to-trial instability in threat evidence.
phase3_reinstatement,Neural_DynamicDiscrimination_LatePhase,22,28,-0.0105364390127045,-0.0516392258684973,-0.050828138551191,-0.0032467532467532,0.8577851163432084,0.9987548280470194,0.5016233766233766,Late-phase separation between threat evidence and safety evidence.
phase3_reinstatement,Neural_Threat_InitialFinal_Change,22,28,0.0004950364433421,0.0227093109606737,0.0223526202126003,-0.0097402597402597,0.9390982395866978,0.9987548280470194,0.5048701298701299,Derived FearNetwork profile metric.
phase3_reinstatement,Neural_DynamicDiscriminationAUC,22,28,0.0006283613454861,0.004855216967971,0.0047789570155945,0.0714285714285714,0.9865099358597158,0.9987548280470194,0.5357142857142857,Mean trialwise threat-vs-safety evidence separation across extinction trials.
phase3_reinstatement,Neural_Safety_Volatility,22,28,7.91221915062007e-06,0.0004466270911364,0.0004396120059353,0.0487012987012986,0.9987548280470194,0.9987548280470194,0.5243506493506493,Trial-to-trial instability in safety evidence.
