trajectory,trial,SAD_minus_HC_d,p,SAD_mean,HC_mean,SAD_n,HC_n
CSR shock-axis progress,1,0.4537399898733641,0.13454930347980112,0.0004186481150134156,-0.0004996796147604375,22,28
CSR shock-axis progress,2,-0.4537399898733641,0.13454930347980112,-0.0004186481150134156,0.0004996796147604375,22,28
CSR shock-axis progress,3,0.09310292225837455,0.7407549472914823,5.095844884968794e-05,-0.0003154388768204273,22,28
CSR shock-axis progress,4,0.575539216961572,0.0611934947348295,0.0012921004853053161,-0.00041854088320906677,22,28
CSR shock-axis progress,5,0.27148782651806114,0.3705375838456719,0.0007123297774562216,-0.00016620200737948632,22,28
CSR shock-axis progress,6,-0.08668366275039512,0.7612664401799558,0.00030595065918365903,0.0006507304336892912,22,28
CSR shock-axis progress,7,-0.1720515510134799,0.5358316687232176,0.00010805093405700264,0.0007573195424221639,22,28
CSR shock-axis progress,8,0.19871935207494962,0.4837973737006165,0.0007756667796126962,5.1515710547571326e-05,22,28
CSS safety-axis progress,1,-0.45084354520980535,0.1266499701177844,-0.08110290818237115,-1.7308013569339704e-05,22,28
CSS safety-axis progress,2,0.4508435452098053,0.1266499701177844,0.08110290818237115,1.7308013569347636e-05,22,28
CSS safety-axis progress,3,-0.041795582337801014,0.8843145726741102,0.725887983435006,0.7333463926707068,22,28
CSS safety-axis progress,4,-0.2300799764567122,0.41763701207462434,0.7696155986023726,0.8081464142746071,22,28
CSS safety-axis progress,5,0.14092062032016822,0.618358539323356,0.7745623390701546,0.7503866019919876,22,28
CSS safety-axis progress,6,0.5449545788652148,0.0668322917226627,0.7941890128429919,0.6939836680373571,22,28
CSS safety-axis progress,7,0.00041103785245667155,0.9988964378133749,0.7355461220882797,0.7354591642611152,22,28
CSS safety-axis progress,8,-0.09295876404929383,0.7456546661219141,0.7487268217469322,0.7640715522657893,22,28
