trajectory,Group,trial,mean,sem,n
CSR shock-axis progress,HC,1,-0.0004996796147604375,0.000320699119066613,28
CSR shock-axis progress,HC,2,0.0004996796147604376,0.000320699119066613,28
CSR shock-axis progress,HC,3,-0.0003154388768204274,0.0007897587105579941,28
CSR shock-axis progress,HC,4,-0.0004185408832090666,0.0004602165081595252,28
CSR shock-axis progress,HC,5,-0.00016620200737948632,0.00048614189666654233,28
CSR shock-axis progress,HC,6,0.0006507304336892913,0.0007635902415182768,28
CSR shock-axis progress,HC,7,0.0007573195424221639,0.0007884544585024769,28
CSR shock-axis progress,HC,8,5.1515710547571265e-05,0.0007168540358412039,28
CSR shock-axis progress,SAD,1,0.0004186481150134156,0.0005072304637000167,22
CSR shock-axis progress,SAD,2,-0.0004186481150134156,0.0005072304637000167,22
CSR shock-axis progress,SAD,3,5.09584488496879e-05,0.0007671034371487515,22
CSR shock-axis progress,SAD,4,0.0012921004853053164,0.0007558175939142075,22
CSR shock-axis progress,SAD,5,0.0007123297774562216,0.0008373966534299313,22
CSR shock-axis progress,SAD,6,0.000305950659183659,0.000830380318541002,22
CSR shock-axis progress,SAD,7,0.00010805093405700264,0.0006799203674873719,22
CSR shock-axis progress,SAD,8,0.0007756667796126964,0.0007340180526538818,22
CSS safety-axis progress,HC,1,-1.7308013569339704e-05,0.03202907715939433,28
CSS safety-axis progress,HC,2,1.7308013569345654e-05,0.032029077159394334,28
CSS safety-axis progress,HC,3,0.7333463926707068,0.033418898776022055,28
CSS safety-axis progress,HC,4,0.8081464142746071,0.03301322858383977,28
CSS safety-axis progress,HC,5,0.7503866019919877,0.0339580805672661,28
CSS safety-axis progress,HC,6,0.693983668037357,0.03261062518206461,28
CSS safety-axis progress,HC,7,0.7354591642611152,0.034316481584705856,28
CSS safety-axis progress,HC,8,0.7640715522657893,0.03122175012858362,28
CSS safety-axis progress,SAD,1,-0.08110290818237118,0.041012899161020244,22
CSS safety-axis progress,SAD,2,0.08110290818237115,0.04101289916102023,22
CSS safety-axis progress,SAD,3,0.725887983435006,0.038483374463001686,22
CSS safety-axis progress,SAD,4,0.7696155986023726,0.03362081924543456,22
CSS safety-axis progress,SAD,5,0.7745623390701546,0.03421737947254285,22
CSS safety-axis progress,SAD,6,0.7941890128429918,0.04210298090394639,22
CSS safety-axis progress,SAD,7,0.7355461220882795,0.05218222216855284,22
CSS safety-axis progress,SAD,8,0.7487268217469321,0.03515477985302478,22
