source,index,Group,n,mean_peak_gain,sd,sem
CSR extinction,CSR_ext_distance_from_safety,HC,28,0.1857799873173158,0.20642338800231483,0.039010353531537076
CSR extinction,CSR_ext_distance_from_safety,SAD,22,0.16271498804649498,0.11453517312151955,0.024418980957421826
CSR extinction,CSR_ext_shock_distance_inverted,HC,28,0.09730160321496219,0.10138271934545909,0.019159533044824414
CSR extinction,CSR_ext_shock_distance_inverted,SAD,22,0.09497019334893492,0.07373080113537674,0.015719459619535376
CSR extinction,CSR_ext_shock_proximity,HC,28,0.22657456710446647,0.21618839165825174,0.040855765761911765
CSR extinction,CSR_ext_shock_proximity,SAD,22,0.1946538639623033,0.13455846316453896,0.028687960738389723
CSS extinction,CSS_safety_distance_inverted,HC,28,0.1923519363610003,0.17851810290232564,0.03373675034304225
CSS extinction,CSS_safety_distance_inverted,SAD,23,0.14681287561360792,0.09319156010576848,0.019431783550518982
CSS extinction,CSS_safety_proximity,HC,28,0.31752070729008114,0.28379685014658773,0.05363256345366683
CSS extinction,CSS_safety_proximity,SAD,23,0.19909273674564087,0.15235692971971515,0.031768615928041324
