n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,p,phase,index,analysis,measure,q_within_measure
23,28,-0.9754533551956609,-0.9707810786347466,-0.00467227656091429,-0.04495368577257418,0.8689648180255127,phase2_extinction,CSR_cue_threat_distance_inverted,subject_peak_or_window,peak_learned_value,0.8689648180255127
23,28,4.043478260869565,3.857142857142857,0.1863354037267082,0.09035664449018083,0.7465098545049744,phase2_extinction,CSR_cue_threat_distance_inverted,subject_peak_or_window,time_to_peak_trial,0.7613144205915297
23,28,0.1513447164871064,0.14470786579206116,0.006636850695045243,0.06191461948485568,0.8243583674320354,phase2_extinction,CSR_cue_threat_distance_inverted,subject_peak_or_window,peak_minus_first,0.8243583674320354
23,28,-1.116448093467835,-1.1296764839719622,0.013228390504127274,0.15009081187486217,0.5808523641299103,phase2_extinction,CSR_cue_threat_distance_inverted,subject_peak_or_window,late_mean,0.7744698188398803
23,28,-1.1032265832674706,-1.1078841837166558,0.004657600449185173,0.04970972830321126,0.8517666847334112,phase2_extinction,CSR_cue_threat_distance_inverted,subject_peak_or_window,early_mean,0.8517666847334112
23,28,0.25201730217868745,0.2800782181405085,-0.02806091596182103,-0.19147555349367604,0.46650849683284634,phase2_extinction,CSR_cue_threat_proximity,subject_peak_or_window,peak_learned_value,0.6220113291104618
23,28,4.6521739130434785,3.892857142857143,0.7593167701863357,0.3049008018647072,0.28503344358801663,phase2_extinction,CSR_cue_threat_proximity,subject_peak_or_window,time_to_peak_trial,0.5700668871760333
23,28,0.24210351116936174,0.23089523830917955,0.011208272860182195,0.06458229511406464,0.8135677543114571,phase2_extinction,CSR_cue_threat_proximity,subject_peak_or_window,peak_minus_first,0.8243583674320354
23,28,0.01872520282981173,0.012538664660359921,0.006186538169451809,0.049267183339463255,0.8566525459168222,phase2_extinction,CSR_cue_threat_proximity,subject_peak_or_window,late_mean,0.8566525459168222
23,28,0.03729195299060594,0.05162423367637498,-0.014332280685769042,-0.10003018707949722,0.7068896258417208,phase2_extinction,CSR_cue_threat_proximity,subject_peak_or_window,early_mean,0.8517666847334112
23,28,-0.985950470957013,-0.952671788384769,-0.03327868257224409,-0.38822837103478225,0.16003242094022588,phase2_extinction,CSS_safety_distance_inverted,subject_peak_or_window,peak_learned_value,0.32006484188045176
23,28,4.6521739130434785,3.642857142857143,1.0093167701863357,0.47672059756195445,0.10640151048662846,phase2_extinction,CSS_safety_distance_inverted,subject_peak_or_window,time_to_peak_trial,0.42560604194651386
23,28,0.14681287561360798,0.1923519363610003,-0.04553906074739231,-0.31086638935269867,0.24869421924427804,phase2_extinction,CSS_safety_distance_inverted,subject_peak_or_window,peak_minus_first,0.4973884384885561
23,28,-1.142255704992803,-1.1223991220111595,-0.0198565829816435,-0.291287793477532,0.29239285416874816,phase2_extinction,CSS_safety_distance_inverted,subject_peak_or_window,late_mean,0.5847857083374963
23,28,-1.1154083277208438,-1.110699156354915,-0.004709171365928855,-0.05512701607259522,0.8398817367713143,phase2_extinction,CSS_safety_distance_inverted,subject_peak_or_window,early_mean,0.8517666847334112
23,28,0.24476001450081633,0.32279163224181545,-0.07803161774099912,-0.5755040713361012,0.03844190929781822,phase2_extinction,CSS_safety_proximity,subject_peak_or_window,peak_learned_value,0.15376763719127287
23,28,4.304347826086956,4.107142857142857,0.19720496894409933,0.08919068412061493,0.7613144205915297,phase2_extinction,CSS_safety_proximity,subject_peak_or_window,time_to_peak_trial,0.7613144205915297
23,28,0.19909273674564087,0.31752070729008114,-0.11842797054444026,-0.5058921001991156,0.06420317942962349,phase2_extinction,CSS_safety_proximity,subject_peak_or_window,peak_minus_first,0.25681271771849395
23,28,-0.010981043387552805,0.026143336078821144,-0.03712437946637395,-0.31740808087599154,0.24842195561246314,phase2_extinction,CSS_safety_proximity,subject_peak_or_window,late_mean,0.5847857083374963
23,28,0.03864596016858379,0.05904362930522084,-0.02039766913663705,-0.16224268885178836,0.549460962108478,phase2_extinction,CSS_safety_proximity,subject_peak_or_window,early_mean,0.8517666847334112
22,28,-0.0833456784038994,-0.08283440764486169,-0.0005112707590377158,-0.014340618004108739,0.9588734170589572,phase3_reinstatement,CSR_cue_threat_distance_inverted,subject_peak_or_window,peak_learned_value,0.9588734170589572
22,28,2.3636363636363638,3.8214285714285716,-1.4577922077922079,-0.7120399441686213,0.013919788780083538,phase3_reinstatement,CSR_cue_threat_distance_inverted,subject_peak_or_window,time_to_peak_trial,0.08351873268050124
22,28,0.013028203770060824,0.03291640367020362,-0.019888199900142796,-0.5966660452526745,0.02894668647562101,phase3_reinstatement,CSR_cue_threat_distance_inverted,subject_peak_or_window,peak_minus_first,0.17368011885372608
22,28,-0.13280549227137878,-0.13204304063000563,-0.0007624516413731464,-0.010992797657609523,0.9684800543290162,phase3_reinstatement,CSR_cue_threat_distance_inverted,subject_peak_or_window,late_mean,0.9753117082011841
22,28,-0.11372697492321725,-0.11629322091665158,0.0025662459934343296,0.049958338979710144,0.8586191327733235,phase3_reinstatement,CSR_cue_threat_distance_inverted,subject_peak_or_window,early_mean,0.9125705711018756
22,28,0.021819265336450358,0.03155616741468814,-0.009736902078237783,-0.2106468696562553,0.4173929103061931,phase3_reinstatement,CSR_cue_threat_proximity,subject_peak_or_window,peak_learned_value,0.9588734170589572
22,28,4.454545454545454,3.6785714285714284,0.7759740259740258,0.34734345556845014,0.2194120733948434,phase3_reinstatement,CSR_cue_threat_proximity,subject_peak_or_window,time_to_peak_trial,0.4191416317739453
22,28,0.01870133911539135,0.02208655849779867,-0.0033852193824073194,-0.18442982999128638,0.4922055819223403,phase3_reinstatement,CSR_cue_threat_proximity,subject_peak_or_window,peak_minus_first,0.7142254975713538
22,28,-0.0020381279500735904,0.006734650476614991,-0.008772778426688582,-0.22045425854673292,0.3945324817930328,phase3_reinstatement,CSR_cue_threat_proximity,subject_peak_or_window,late_mean,0.9753117082011841
22,28,0.0013550605376562914,0.010837079623600008,-0.009482019085943717,-0.21705218614313132,0.40304399484249276,phase3_reinstatement,CSR_cue_threat_proximity,subject_peak_or_window,early_mean,0.9125705711018756
22,28,-1.834931106514457,-1.8335018636804026,-0.0014292428340543228,-0.014797182120139928,0.9586079533862389,phase3_reinstatement,CSR_shock_distance_inverted,subject_peak_or_window,peak_learned_value,0.9588734170589572
22,28,5.7727272727272725,5.035714285714286,0.7370129870129869,0.30470221839120215,0.2794277545159635,phase3_reinstatement,CSR_shock_distance_inverted,subject_peak_or_window,time_to_peak_trial,0.4191416317739453
22,28,0.0853317839194616,0.07224804288236267,0.013083741037098931,0.15136042975588343,0.5951879146427949,phase3_reinstatement,CSR_shock_distance_inverted,subject_peak_or_window,peak_minus_first,0.7142254975713538
22,28,-1.889418320050198,-1.8887446584143248,-0.000673661635873124,-0.01182079090420326,0.966137811435413,phase3_reinstatement,CSR_shock_distance_inverted,subject_peak_or_window,late_mean,0.9753117082011841
22,28,-1.904608419779877,-1.9033071181424526,-0.001301301637424368,-0.030960511146405426,0.9125705711018756,phase3_reinstatement,CSR_shock_distance_inverted,subject_peak_or_window,early_mean,0.9125705711018756
22,28,-1.6449839652648075,-1.6374862711133351,-0.007497694151472389,-0.036673138968219214,0.8975020040203031,phase3_reinstatement,CSR_shock_proximity,subject_peak_or_window,peak_learned_value,0.9588734170589572
22,28,5.636363636363637,4.678571428571429,0.9577922077922079,0.41216968996158926,0.14019805955633885,phase3_reinstatement,CSR_shock_proximity,subject_peak_or_window,time_to_peak_trial,0.4191416317739453
22,28,0.17578711677409167,0.1430432152174753,0.032743901556616384,0.18530304812902554,0.5179246351467911,phase3_reinstatement,CSR_shock_proximity,subject_peak_or_window,peak_minus_first,0.7142254975713538
22,28,-1.7586509557288927,-1.749966967307704,-0.008683988421188671,-0.06652110085874563,0.8095569015938817,phase3_reinstatement,CSR_shock_proximity,subject_peak_or_window,late_mean,0.9753117082011841
22,28,-1.7895263843190035,-1.776176817602201,-0.01334956671680243,-0.12942559283976843,0.6393601820337231,phase3_reinstatement,CSR_shock_proximity,subject_peak_or_window,early_mean,0.9125705711018756
22,28,-0.08468353516445556,-0.0906415254288365,0.00595799026438093,0.10415634203215726,0.6987018564165279,phase3_reinstatement,CSS_safety_distance_inverted,subject_peak_or_window,peak_learned_value,0.9588734170589572
22,28,4.409090909090909,4.035714285714286,0.3733766233766236,0.18558844681918274,0.5104456153810478,phase3_reinstatement,CSS_safety_distance_inverted,subject_peak_or_window,time_to_peak_trial,0.6119912108647322
22,28,0.036983477221230694,0.024834141963437518,0.012149335257793176,0.34175448330083497,0.24325256244817,phase3_reinstatement,CSS_safety_distance_inverted,subject_peak_or_window,peak_minus_first,0.7142254975713538
22,28,-0.14088350492034787,-0.14008408790211094,-0.0007994170182369364,-0.008849188822612486,0.9753117082011841,phase3_reinstatement,CSS_safety_distance_inverted,subject_peak_or_window,late_mean,0.9753117082011841
22,28,-0.11436130612665628,-0.12562072832082766,0.011259422194171378,0.16674991217555268,0.5368961813983415,phase3_reinstatement,CSS_safety_distance_inverted,subject_peak_or_window,early_mean,0.9125705711018756
22,28,0.027508789229661844,0.009949322327741034,0.01755946690192081,0.4314445397970869,0.10707803598259519,phase3_reinstatement,CSS_safety_proximity,subject_peak_or_window,peak_learned_value,0.6424682158955711
22,28,4.863636363636363,5.178571428571429,-0.3149350649350655,-0.14687314230794912,0.6119912108647322,phase3_reinstatement,CSS_safety_proximity,subject_peak_or_window,time_to_peak_trial,0.6119912108647322
22,28,0.02580998390551252,0.02474758667264165,0.0010623972328708715,0.0470282074794333,0.8764586836447646,phase3_reinstatement,CSS_safety_proximity,subject_peak_or_window,peak_minus_first,0.8764586836447646
