source,index,Group,n,mean_time_to_peak,median_time_to_peak,sd,sem
CSR extinction,CSR_ext_distance_from_safety,HC,28,4.392857142857143,4.0,2.528933104196836,0.4779234340016731
CSR extinction,CSR_ext_distance_from_safety,SAD,22,4.818181818181818,5.0,2.342899376665052,0.49950782545410227
CSR extinction,CSR_ext_shock_distance_inverted,HC,28,5.178571428571429,6.0,2.1951726740243167,0.4148486414509285
CSR extinction,CSR_ext_shock_distance_inverted,SAD,22,4.681818181818182,4.0,2.0790648913660257,0.44325812418903604
CSR extinction,CSR_ext_shock_proximity,HC,28,4.821428571428571,5.0,2.5683770841838713,0.4853776455562663
CSR extinction,CSR_ext_shock_proximity,SAD,22,4.863636363636363,4.5,2.356257212603932,0.5023557256452321
CSS extinction,CSS_safety_distance_inverted,HC,28,3.642857142857143,4.0,1.8502109131881217,0.34965699637953473
CSS extinction,CSS_safety_distance_inverted,SAD,23,4.6521739130434785,5.0,2.404705532004319,0.5014157649856869
CSS extinction,CSS_safety_proximity,HC,28,4.107142857142857,4.0,1.8122890316921123,0.3424904344019559
CSS extinction,CSS_safety_proximity,SAD,23,4.304347826086956,4.0,2.618722495775645,0.5460413867847391
