metric,analysis,n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,hedges_g_SAD_minus_HC,rank_biserial_SAD_vs_HC,t,p,scalar_auc_abs_direction,phase,feature_space,all_subjects_adjusted_group_beta,all_subjects_adjusted_group_p,all_subjects_adjusted_model_n,q_within_phase_feature,rank_score,profile,profile_order,metric_family,interpretation,direction_summary,passes_nominal_p05,passes_family_q05
Neural_ThreatTriangleOpenness,placebo_SAD_vs_HC,23,28,-0.00336979496060527,0.1602673455863271,-0.16363714054693237,-0.5308226044696933,-0.5226561028624673,-0.2950310559006212,-1.876733024676073,0.06689412540001272,0.6475155279503106,phase2_extinction,phase2_ext_roi,-0.1877680955915769,0.013915524006308,102,0.29843058829264374,2.8076923076923075,Q1_geometry_topology,1,geometry_triangle,Whether threat is farther from background than safety is; positive values indicate an open threat-safety-background geometry.,SAD lower than HC,False,False
Neural_BoundarySeparation,placebo_SAD_vs_HC,23,28,0.32099470238508465,0.35465304777930723,-0.03365834539422258,-0.4455855870099527,-0.43873042413287655,-0.24534161490683226,-1.6245030108746898,0.11070812146340009,0.6226708074534162,phase2_extinction,phase2_ext_roi,-0.03613279265655778,0.0669892139363968,102,0.29843058829264374,2.555429864253394,Q2_decision_evidence,2,decision_boundary,Difference between threat evidence for CSR and threat evidence for CSS.,SAD lower than HC,False,False
Neural_DynamicDiscrimination_Volatility,placebo_SAD_vs_HC,23,28,0.33043690056558744,0.44254398431099146,-0.11210708374540401,-0.6734327003886046,-0.663072197305703,-0.3633540372670808,-2.4526299853298608,0.01779832034839672,0.6816770186335404,phase2_extinction,phase2_ext_roi,-0.1216320696401812,0.005084912379409361,102,0.29843058829264374,2.9638009049773757,Q3_learning_dynamics,3,trajectory_volatility,Derived FearNetwork profile metric.,SAD lower than HC,True,False
Neural_TrialwiseEvidenceCertainty,placebo_SAD_vs_HC,23,28,0.28700464336987513,0.3215653422915426,-0.034560698921667465,-0.7039975619197413,-0.6931668301978992,-0.3198757763975155,-2.643071776525163,0.0114249202328053,0.6599378881987578,phase2_extinction,phase2_ext_roi,-0.04178479386438954,0.003752449887084992,102,0.29843058829264374,2.9592760180995477,Q4_precision_dispersion,4,representational_certainty,Mean absolute trialwise distance from the safety/threat decision boundary.,SAD lower than HC,True,False
Neural_RawMean_SafetyMinusBackground,placebo_SAD_vs_HC,23,28,5.4176275548727615,-1.6977766241346086,7.1154041790073705,0.5431286746723434,0.5347728489081535,0.2515527950310559,1.9416810718121797,0.058051820676217586,0.6257763975155279,phase2_extinction,phase2_ext_roi,6.90659343420595,0.06972589383587942,102,0.29843058829264374,2.7861990950226243,Q5_activation_magnitude_secondary,5,raw_activation_mean,Derived FearNetwork profile metric.,SAD higher than HC,False,False
Neural_ThreatAxisSeparation,placebo_SAD_vs_HC,22,28,0.5441812090012299,0.46215071899086935,0.08203049001036056,0.5489649251885429,0.5403424394525972,0.23051948051948057,1.920570276739255,0.06118450440028654,0.6152597402597403,phase3_reinstatement,phase3_reinst_roi,0.07582792916910903,0.091363456224113,100,0.847842418118259,2.75,Q1_geometry_topology,1,axis_projection_geometry,How far safety sits away from the threat end of the background-to-threat axis.,SAD higher than HC,False,False
Neural_SafetyEvidence,placebo_SAD_vs_HC,22,28,0.5004815545301272,0.49648593363614113,0.003995620893986085,0.33986507355353823,0.3345268786809696,0.1071428571428572,1.339818532968896,0.1907467982560319,0.5535714285714286,phase3_reinstatement,phase3_reinst_roi,0.003267364704419193,0.2124600019224972,100,0.8842089629220995,1.9332579185520362,Q2_decision_evidence,2,prototype_evidence,Prototype evidence that safety trials look background-like rather than threat-like.,SAD higher than HC,False,False
Neural_Safety_LatePhaseEvidence,placebo_SAD_vs_HC,22,28,0.0028675611815531864,-0.010967817988573433,0.01383537917012662,0.31702318127917034,0.312043759583686,0.20779220779220786,1.241197355430815,0.22386693187190554,0.6038961038961039,phase3_reinstatement,phase3_reinst_roi,0.011350975656760078,0.253744412421116,100,0.8842089629220995,2.1832579185520364,Q3_learning_dynamics,3,late_phase_evidence,Mean safety evidence during the last half of extinction trials.,SAD higher than HC,False,False
Neural_TrialwiseEvidenceCertaintySNR,placebo_SAD_vs_HC,22,28,0.8017087974261422,0.6332560735010883,0.16845272392505395,0.5145007340255626,0.5064195706639046,0.09090909090909083,1.6793325676976631,0.10368506084940386,0.5454545454545454,phase3_reinstatement,phase3_reinst_roi,0.1556922829492369,0.07351535387031567,100,0.8842089629220995,2.1549773755656108,Q4_precision_dispersion,4,representational_certainty,Trialwise evidence margin divided by trialwise evidence variability.,SAD higher than HC,False,False
Neural_RawMean_SafetyMinusBackground,placebo_SAD_vs_HC,22,28,-2.780318923294544,-10.02631230013711,7.245993376842566,0.3334746929955126,0.3282368705924417,0.1298701298701299,1.2739690489711777,0.2103413345098364,0.564935064935065,phase3_reinstatement,phase3_reinst_roi,6.379608129118944,0.2092552846009742,100,0.8842089629220995,1.9615384615384617,Q5_activation_magnitude_secondary,5,raw_activation_mean,Derived FearNetwork profile metric.,SAD higher than HC,False,False
Neural_ResidualizedShockAxis_CSR_Projection,placebo_SAD_vs_HC,22,28,-0.00018203202515778736,0.1536487035432014,-0.1538307355683592,-0.7434291984644318,-0.7317523000592313,-0.39610389610389607,-2.534747810501086,0.015361515067620672,0.698051948051948,phase3_reinstatement,phase3_reinst_roi,-0.16063810835453146,0.007103470086770991,100,0.8404809375629152,2.986425339366516,Q6_shock_anchor_secondary,6,residualized_shock_axis,Derived FearNetwork profile metric.,SAD lower than HC,True,False
