metric,analysis,n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,hedges_g_SAD_minus_HC,rank_biserial_SAD_vs_HC,t,p,scalar_auc_abs_direction,phase,feature_space,all_subjects_adjusted_group_beta,all_subjects_adjusted_group_p,all_subjects_adjusted_model_n,q_within_phase_feature,rank_score,profile,profile_order,metric_family,interpretation,direction_summary,passes_nominal_p05,passes_family_q05
Neural_ResidualizedShockAxis_CSR_Projection,placebo_SAD_vs_HC,22,28,-0.00018203202515778736,0.1536487035432014,-0.1538307355683592,-0.7434291984644318,-0.7317523000592313,-0.39610389610389607,-2.534747810501086,0.015361515067620672,0.698051948051948,phase3_reinstatement,phase3_reinst_roi,-0.16063810835453146,0.007103470086770991,100,0.8404809375629152,2.986425339366516,Q6_shock_anchor_secondary,6,residualized_shock_axis,Derived FearNetwork profile metric.,SAD lower than HC,True,False
Neural_DynamicDiscrimination_Volatility,placebo_SAD_vs_HC,23,28,0.33043690056558744,0.44254398431099146,-0.11210708374540401,-0.6734327003886046,-0.663072197305703,-0.3633540372670808,-2.4526299853298608,0.01779832034839672,0.6816770186335404,phase2_extinction,phase2_ext_roi,-0.1216320696401812,0.005084912379409361,102,0.29843058829264374,2.9638009049773757,Q3_learning_dynamics,3,trajectory_volatility,Derived FearNetwork profile metric.,SAD lower than HC,True,False
Neural_TrialwiseEvidenceCertainty,placebo_SAD_vs_HC,23,28,0.28700464336987513,0.3215653422915426,-0.034560698921667465,-0.7039975619197413,-0.6931668301978992,-0.3198757763975155,-2.643071776525163,0.0114249202328053,0.6599378881987578,phase2_extinction,phase2_ext_roi,-0.04178479386438954,0.003752449887084992,102,0.29843058829264374,2.9592760180995477,Q4_precision_dispersion,4,representational_certainty,Mean absolute trialwise distance from the safety/threat decision boundary.,SAD lower than HC,True,False
Neural_ResidualizedShockAxis_CSR_Cosine,placebo_SAD_vs_HC,22,28,0.003534448254833463,0.045557072429549934,-0.04202262417471647,-0.6769938846759627,-0.6663604728747695,-0.3311688311688311,-2.281385782701781,0.02847348537795922,0.6655844155844155,phase3_reinstatement,phase3_reinst_roi,-0.043791774343206545,0.009327592085844752,100,0.8404809375629152,2.9524886877828056,Q6_shock_anchor_secondary,6,residualized_shock_axis,Derived FearNetwork profile metric.,SAD lower than HC,True,False
Neural_PrototypeEvidenceCertainty,placebo_SAD_vs_HC,23,28,0.34891392376026714,0.386341096228944,-0.037427172468676884,-0.6043564212417819,-0.5950586301457546,-0.3850931677018634,-2.1668221144111817,0.03520067502991729,0.6925465838509317,phase2_extinction,phase2_ext_roi,-0.04301601834712194,0.007359348882423771,102,0.29843058829264374,2.9502262443438916,Q4_precision_dispersion,4,representational_certainty,Mean absolute distance from ambiguous prototype evidence for safety and threat cues.,SAD lower than HC,True,False
Neural_ResidualizedShockAxis_CSRMinusCSS_Cosine,placebo_SAD_vs_HC,22,28,-0.0434099886562995,-0.002580019850688134,-0.040829968805611364,-0.5950803524992093,-0.5857335406798501,-0.4058441558441559,-2.1016567764236758,0.04106345509901695,0.702922077922078,phase3_reinstatement,phase3_reinst_roi,-0.038691399666895276,0.038252166280964395,100,0.8404809375629152,2.9389140271493215,Q6_shock_anchor_secondary,6,residualized_shock_axis,Global-amplitude-residualized cosine contrast along each subject's SHOCK-minus-CS- axis.,SAD lower than HC,True,False
Neural_ResidualizedShockAxis_DiscriminationAUC,placebo_SAD_vs_HC,22,28,-0.14216583047016404,-0.00511244044591924,-0.1370533900242448,-0.5900638295024856,-0.5807958112380487,-0.3896103896103895,-2.0781887237720116,0.04332375966819135,0.6948051948051948,phase3_reinstatement,phase3_reinst_roi,-0.1336234710165058,0.043812424667572444,100,0.8404809375629152,2.9219457013574663,Q6_shock_anchor_secondary,6,residualized_shock_axis,Mean trialwise residualized shock-axis contrast for CSR versus CSS.,SAD lower than HC,True,False
Neural_ResidualizedShockAxis_CSRMinusCSS_Projection,placebo_SAD_vs_HC,22,28,-0.1421658304701639,-0.005112440445919337,-0.13705339002424458,-0.5900638295024849,-0.580795811238048,-0.3896103896103895,-2.07818872377201,0.043323759668191505,0.6948051948051948,phase3_reinstatement,phase3_reinst_roi,-0.1336234710165056,0.043812424667572576,100,0.8404809375629152,2.9174208144796383,Q6_shock_anchor_secondary,6,residualized_shock_axis,Global-amplitude-residualized projection contrast along each subject's SHOCK-minus-CS- axis.,SAD lower than HC,True,False
Neural_SafetyEvidenceCertainty,placebo_SAD_vs_HC,23,28,0.07215161771431435,0.12170276663987921,-0.049551148925564864,-0.5426896343684646,-0.5343405630704883,-0.4161490683229814,-1.992402557901783,0.052014895941074835,0.7080745341614907,phase2_extinction,phase2_ext_roi,-0.05580447044842335,0.02206710611696805,102,0.29843058829264374,2.8936651583710407,Q4_precision_dispersion,4,representational_certainty,Derived FearNetwork profile metric.,SAD lower than HC,False,False
Neural_ThreatTriangleOpenness,placebo_SAD_vs_HC,23,28,-0.00336979496060527,0.1602673455863271,-0.16363714054693237,-0.5308226044696933,-0.5226561028624673,-0.2950310559006212,-1.876733024676073,0.06689412540001272,0.6475155279503106,phase2_extinction,phase2_ext_roi,-0.1877680955915769,0.013915524006308,102,0.29843058829264374,2.8076923076923075,Q1_geometry_topology,1,geometry_triangle,Whether threat is farther from background than safety is; positive values indicate an open threat-safety-background geometry.,SAD lower than HC,False,False
