metric,analysis,n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,hedges_g_SAD_minus_HC,rank_biserial_SAD_vs_HC,t,p,scalar_auc_abs_direction,phase,feature_space,roi_name,all_subjects_adjusted_group_beta,all_subjects_adjusted_group_p,all_subjects_adjusted_model_n,q_within_phase_feature,rank_score,profile,profile_order,metric_family,interpretation,direction_summary,passes_nominal_p05,passes_family_q05
Neural_ResidualizedShockAxis_CSRMinusCSS_Projection,placebo_SAD_vs_HC,22,28,-0.04761356916101607,0.024308459327688933,-0.071922028488705,-0.97174663033166,-0.9564835942531522,-0.5616883116883117,-3.5149506704952787,0.0009709295352673199,0.7808441558441559,phase3_reinstatement,phase3_reinst_roi_by_roi,right_vmpfc,-0.0692590046568871,0.004129206631857304,100,0.06076195301988547,2.9995555555555553,Q6_shock_anchor_secondary,6,residualized_shock_axis,Global-amplitude-residualized projection contrast along each subject's SHOCK-minus-CS- axis.,SAD lower than HC,True,False
Neural_ResidualizedShockAxis_DiscriminationAUC,placebo_SAD_vs_HC,22,28,-0.04761356916101607,0.024308459327688915,-0.07192202848870499,-0.9717466303316598,-0.9564835942531521,-0.5616883116883117,-3.5149506704952778,0.0009709295352673225,0.7808441558441559,phase3_reinstatement,phase3_reinst_roi_by_roi,right_vmpfc,-0.06925900465688707,0.004129206631857313,100,0.06076195301988547,2.998962962962963,Q6_shock_anchor_secondary,6,residualized_shock_axis,Mean trialwise residualized shock-axis contrast for CSR versus CSS.,SAD lower than HC,True,False
Neural_Euclid_ThreatToSafetyDistanceRatio,placebo_SAD_vs_HC,22,28,1.0719524960191682,0.8652071629237577,0.20674533309541054,0.9806529403049282,0.9652500145409765,0.4967532467532467,3.410467798478567,0.0014100825100242214,0.7483766233766234,phase3_reinstatement,phase3_reinst_roi_by_roi,left_acc,0.18986726115095698,0.008205859414327296,100,0.09876076926500468,2.998074074074074,Q1_geometry_topology,1,normalized_geometry_ratio,Derived FearNetwork profile metric.,SAD higher than HC,True,False
Neural_ResidualizedShockAxis_CSRMinusCSS_Cosine,placebo_SAD_vs_HC,22,28,-0.07733119643868215,0.039462063137953286,-0.11679325957663544,-0.9574263655165557,-0.9423882550634161,-0.49675324675324684,-3.396246046115598,0.001402198915843511,0.7483766233766234,phase3_reinstatement,phase3_reinst_roi_by_roi,right_vmpfc,-0.11316668088461046,0.002937412202146963,100,0.06076195301988547,2.9974814814814814,Q6_shock_anchor_secondary,6,residualized_shock_axis,Global-amplitude-residualized cosine contrast along each subject's SHOCK-minus-CS- axis.,SAD lower than HC,True,False
Neural_ThreatAxisSeparation,placebo_SAD_vs_HC,22,28,0.5332345896345705,0.32275132526332023,0.21048326437125026,0.9118875189486075,0.8975646783368494,0.44480519480519476,3.229001351389222,0.002279094675346249,0.7224025974025974,phase3_reinstatement,phase3_reinst_roi_by_roi,left_acc,0.20702161387482781,0.0016697534420181035,100,0.09876076926500468,2.9930370370370367,Q1_geometry_topology,1,axis_projection_geometry,How far safety sits away from the threat end of the background-to-threat axis.,SAD higher than HC,True,False
Neural_Certainty_CSS,placebo_SAD_vs_HC,22,28,0.30563589710601957,0.16526120800733982,0.14037468909867976,0.8353073283849003,0.8221873179914202,0.4967532467532467,2.858596288748589,0.0067261663306579155,0.7483766233766234,phase3_reinstatement,phase3_reinst_roi_by_roi,right_insula,0.13724776883496773,0.0026130512177835307,100,0.43720081149276446,2.9927407407407407,Q2_decision_evidence,2,representational_certainty,Certainty of expected safety-state evidence for CSS relative to maximal ambiguity.,SAD higher than HC,True,False
Neural_SafetyEvidenceCertainty,placebo_SAD_vs_HC,22,28,0.30563589710601957,0.16526120800733982,0.14037468909867976,0.8353073283849003,0.8221873179914202,0.4967532467532467,2.858596288748589,0.0067261663306579155,0.7483766233766234,phase3_reinstatement,phase3_reinst_roi_by_roi,right_insula,0.13724776883496773,0.0026130512177835307,100,0.43720081149276446,2.9927407407407407,Q4_precision_dispersion,4,representational_certainty,Derived FearNetwork profile metric.,SAD higher than HC,True,False
Neural_Safety_ThreatAxisProjection,placebo_SAD_vs_HC,22,28,0.4667654103654296,0.6772486747366797,-0.2104832643712501,-0.9118875189486069,-0.8975646783368487,-0.44480519480519487,-3.229001351389219,0.002279094675346262,0.7224025974025974,phase3_reinstatement,phase3_reinst_roi_by_roi,left_acc,-0.2070216138748278,0.0016697534420181063,100,0.09876076926500468,2.9924444444444442,Q1_geometry_topology,1,axis_projection_geometry,Projection of safety onto the background-to-threat axis; higher values mean safety is more threat-like.,SAD lower than HC,True,False
Neural_Certainty_CSR,placebo_SAD_vs_HC,22,28,0.3598744307380936,0.20197043017177044,0.15790400056632317,0.8939231895321952,0.8798825111625795,0.4383116883116882,2.9874213908965803,0.005152675662046914,0.7191558441558441,phase3_reinstatement,phase3_reinst_roi_by_roi,insula,0.16190053955606334,0.0006491485018288334,100,0.3349239180330494,2.9894814814814814,Q2_decision_evidence,2,representational_certainty,Certainty of expected threat-state evidence for CSR relative to maximal ambiguity.,SAD higher than HC,True,False
Neural_ThreatEvidenceCertainty,placebo_SAD_vs_HC,22,28,0.3598744307380936,0.20197043017177044,0.15790400056632317,0.8939231895321952,0.8798825111625795,0.4383116883116882,2.9874213908965803,0.005152675662046914,0.7191558441558441,phase3_reinstatement,phase3_reinst_roi_by_roi,insula,0.16190053955606334,0.0006491485018288334,100,0.3349239180330494,2.9894814814814814,Q4_precision_dispersion,4,representational_certainty,Derived FearNetwork profile metric.,SAD higher than HC,True,False
Neural_Certainty_CSR,placebo_SAD_vs_HC,22,28,0.31792050338181843,0.1778170935967022,0.14010340978511623,0.8299380487318018,0.8169023725737107,0.4512987012987013,2.824740144503055,0.0074397266903230095,0.7256493506493507,phase3_reinstatement,phase3_reinst_roi_by_roi,left_insula,0.13603234495501298,0.0036359030308923223,100,0.4835822348709956,2.988888888888889,Q2_decision_evidence,2,representational_certainty,Certainty of expected threat-state evidence for CSR relative to maximal ambiguity.,SAD higher than HC,True,False
Neural_ThreatEvidenceCertainty,placebo_SAD_vs_HC,22,28,0.31792050338181843,0.1778170935967022,0.14010340978511623,0.8299380487318018,0.8169023725737107,0.4512987012987013,2.824740144503055,0.0074397266903230095,0.7256493506493507,phase3_reinstatement,phase3_reinst_roi_by_roi,left_insula,0.13603234495501298,0.0036359030308923223,100,0.4835822348709956,2.988888888888889,Q4_precision_dispersion,4,representational_certainty,Derived FearNetwork profile metric.,SAD higher than HC,True,False
Neural_DynamicDiscrimination_InitialFinal_Change,placebo_SAD_vs_HC,23,28,0.3460412003259918,-0.13332268845630604,0.47936388878229785,0.7741328111204955,0.7622230755647956,0.48136645962732905,2.8301270587349423,0.00674595082752447,0.7406832298136645,phase2_extinction,phase2_ext_roi_by_roi,left_hippocampus,0.4626274085267052,0.010391595850951327,102,0.45216160947029543,2.9872592592592593,Q3_learning_dynamics,3,initial_final_change,Derived FearNetwork profile metric.,SAD higher than HC,True,False
