metric,analysis,n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,hedges_g_SAD_minus_HC,rank_biserial_SAD_vs_HC,t,p,scalar_auc_abs_direction,phase,feature_space,roi_name,all_subjects_adjusted_group_beta,all_subjects_adjusted_group_p,all_subjects_adjusted_model_n,q_within_phase_feature,rank_score,profile,profile_order,metric_family,interpretation,direction_summary,passes_nominal_p05,passes_family_q05
Neural_ThreatTriangleOpenness,placebo_SAD_vs_HC,23,28,0.022398524239406806,0.19961924817525561,-0.1772207239358488,-0.5709847714904753,-0.5622003903906219,-0.3726708074534162,-1.9877530835937445,0.05335272154805318,0.6863354037267081,phase2_extinction,phase2_ext_roi_by_roi,right_insula,-0.1995248237320082,0.014124888807660415,102,0.30121654307590884,2.9224318658280923,Q1_geometry_topology,1,geometry_triangle,Whether threat is farther from background than safety is; positive values indicate an open threat-safety-background geometry.,SAD lower than HC,False,False
Neural_Safety_Differentiation,placebo_SAD_vs_HC,23,28,0.022398524239406806,0.19961924817525561,-0.1772207239358488,-0.5709847714904753,-0.5622003903906219,-0.3726708074534162,-1.9877530835937445,0.05335272154805318,0.6863354037267081,phase2_extinction,phase2_ext_roi_by_roi,right_insula,-0.1995248237320082,0.014124888807660415,102,0.30121654307590884,2.9224318658280923,Q1_geometry_topology,1,other,Threat-background minus safety-background distance; positive values indicate threat is more differentiated from CS- than safety is.,SAD lower than HC,False,False
Neural_Threat_Safety_Distance,placebo_SAD_vs_HC,23,28,0.022398524239406806,0.19961924817525561,-0.1772207239358488,-0.5709847714904753,-0.5622003903906219,-0.3726708074534162,-1.9877530835937445,0.05335272154805318,0.6863354037267081,phase2_extinction,phase2_ext_roi_by_roi,right_insula,-0.1995248237320082,0.014124888807660415,102,0.30121654307590884,2.9224318658280923,Q1_geometry_topology,1,other,Threat-background minus safety-background distance; positive values indicate threat is more differentiated from CS- than safety is.,SAD lower than HC,False,False
Neural_Dist_Threat_Background,placebo_SAD_vs_HC,23,28,1.4912240195999427,1.5900875639777443,-0.09886354437780165,-0.6130681140233966,-0.6036362968845751,-0.30434782608695665,-2.086434458379486,0.04416229234383599,0.6521739130434783,phase2_extinction,phase2_ext_roi_by_roi,right_insula,-0.11179513445606315,0.013060952909123558,102,0.30121654307590884,2.9123689727463313,Q1_geometry_topology,1,pairwise_geometry,Pattern distance between reinforced/threat cue and background cue.,SAD lower than HC,True,False
Neural_Dist_Threat_Background,placebo_SAD_vs_HC,23,28,1.4499229171938823,1.5578788647239672,-0.10795594753008486,-0.5863275691692857,-0.5773071450282199,-0.33850931677018636,-1.9743027184680133,0.056868711890644935,0.6692546583850931,phase2_extinction,phase2_ext_roi_by_roi,hippocampus,-0.12336842295778529,0.009337284121629152,102,0.3843298249491897,2.9113207547169813,Q1_geometry_topology,1,pairwise_geometry,Pattern distance between reinforced/threat cue and background cue.,SAD lower than HC,False,False
Neural_ThreatEvidence,placebo_SAD_vs_HC,23,28,0.8144968633357392,0.8299323513048782,-0.015435487969138961,-0.6077493305246549,-0.5983993408242756,-0.30434782608695665,-2.04834365557687,0.0485842728229731,0.6521739130434783,phase2_extinction,phase2_ext_roi_by_roi,right_insula,-0.017420860256755592,0.013096622296755834,102,0.30121654307590884,2.907337526205451,Q2_decision_evidence,2,prototype_evidence,Prototype evidence that threat trials look threat-like rather than background-like.,SAD lower than HC,True,False
Neural_ThreatEvidence,placebo_SAD_vs_HC,23,28,0.8075310329327287,0.8252980059140806,-0.01776697298135199,-0.5566316647271897,-0.5480681006544638,-0.33850931677018636,-1.8495156675389535,0.07456038146953026,0.6692546583850931,phase2_extinction,phase2_ext_roi_by_roi,hippocampus,-0.020278966133421162,0.010523957155887192,102,0.3843298249491897,2.8719077568134175,Q2_decision_evidence,2,prototype_evidence,Prototype evidence that threat trials look threat-like rather than background-like.,SAD lower than HC,False,False
Neural_ThreatEvidence,placebo_SAD_vs_HC,23,28,0.8078959006215668,0.8245641409808119,-0.01666824035924508,-0.5479627671508158,-0.539532570733111,-0.3012422360248447,-1.834282968623422,0.07622175613234379,0.6506211180124224,phase2_extinction,phase2_ext_roi_by_roi,left_hippocampus,-0.019026876644339025,0.013159354335129941,102,0.41826059191490683,2.843186582809224,Q2_decision_evidence,2,prototype_evidence,Prototype evidence that threat trials look threat-like rather than background-like.,SAD lower than HC,False,False
Neural_ThreatEvidence,placebo_SAD_vs_HC,23,28,0.8145024704997751,0.8285482699858323,-0.01404579948605722,-0.5811834681462337,-0.572242184020907,-0.248447204968944,-1.952141674223251,0.059737689120138424,0.6242236024844721,phase2_extinction,phase2_ext_roi_by_roi,insula,-0.01632860403826464,0.01510005280745643,102,0.4294839738445327,2.8234800838574423,Q2_decision_evidence,2,prototype_evidence,Prototype evidence that threat trials look threat-like rather than background-like.,SAD lower than HC,False,False
Neural_ThreatEvidence,placebo_SAD_vs_HC,23,28,0.8071665662820366,0.8253089572968191,-0.018142391014782433,-0.5178670209092743,-0.5098998359722086,-0.2795031055900622,-1.726320407530495,0.09459970825945585,0.639751552795031,phase2_extinction,phase2_ext_roi_by_roi,right_hippocampus,-0.02087462955121349,0.015894455061569786,102,0.4076535785273133,2.7815513626834383,Q2_decision_evidence,2,prototype_evidence,Prototype evidence that threat trials look threat-like rather than background-like.,SAD lower than HC,False,False
Neural_DynamicDiscrimination_Volatility,placebo_SAD_vs_HC,23,28,0.39278094629315813,0.546703494002011,-0.15392254770885289,-0.7689485380727483,-0.7571185605639369,-0.45962732919254656,-2.7000819202926407,0.009767642880761162,0.7298136645962733,phase2_extinction,phase2_ext_roi_by_roi,left_hippocampus,-0.15558025941938744,0.00307532758569149,102,0.41826059191490683,2.988259958071279,Q3_learning_dynamics,3,trajectory_volatility,Derived FearNetwork profile metric.,SAD lower than HC,True,False
Neural_DynamicDiscrimination_Volatility,placebo_SAD_vs_HC,23,28,0.3422921027640793,0.49757149595863476,-0.15527939319455547,-0.7440862975741568,-0.732638816073016,-0.4720496894409938,-2.6577571126128046,0.010657066380991106,0.7360248447204969,phase2_extinction,phase2_ext_roi_by_roi,hippocampus,-0.16384008391390995,0.002892251575275455,102,0.3843298249491897,2.9874213836477987,Q3_learning_dynamics,3,trajectory_volatility,Derived FearNetwork profile metric.,SAD lower than HC,True,False
Neural_DynamicDiscrimination_Volatility,placebo_SAD_vs_HC,23,28,0.46845490898396036,0.6224963778070824,-0.15404146882312209,-0.7400755118913337,-0.7286897347853132,-0.40372670807453415,-2.721831937752441,0.009026648030356153,0.7018633540372671,phase2_extinction,phase2_ext_roi_by_roi,left_acc,-0.17075733684609454,0.005262183434738696,102,0.18655072596069383,2.9834381551362683,Q3_learning_dynamics,3,trajectory_volatility,Derived FearNetwork profile metric.,SAD lower than HC,True,False
Neural_DynamicDiscrimination_Volatility,placebo_SAD_vs_HC,23,28,0.3867067732328524,0.5289825117042449,-0.14227573847139252,-0.6621032152521704,-0.6519170119405986,-0.3913043478260869,-2.39671578723438,0.020403288630467392,0.6956521739130435,phase2_extinction,phase2_ext_roi_by_roi,right_hippocampus,-0.1607817101403096,0.005928009438395548,102,0.4076535785273133,2.968553459119497,Q3_learning_dynamics,3,trajectory_volatility,Derived FearNetwork profile metric.,SAD lower than HC,True,False
Neural_Safety_Volatility,placebo_SAD_vs_HC,23,28,0.3367328609327318,0.4205172070903811,-0.08378434615764929,-0.698482468876616,-0.6877365847400527,-0.3633540372670807,-2.4659007336281507,0.01747621630214765,0.6816770186335404,phase2_extinction,phase2_ext_roi_by_roi,left_acc,-0.09053244399361632,0.009122311708325536,102,0.21670508214663087,2.966457023060797,Q3_learning_dynamics,3,trajectory_volatility,Trial-to-trial instability in safety evidence.,SAD lower than HC,True,False
Neural_SafetyEvidenceCertainty,placebo_SAD_vs_HC,23,28,0.07190600592848488,0.15183908693861106,-0.07993308101012618,-0.7919998207952275,-0.7798152081676086,-0.5714285714285714,-2.8559977120462285,0.006282206446847494,0.7857142857142857,phase2_extinction,phase2_ext_roi_by_roi,left_acc,-0.08846712330868649,0.001610460825795831,102,0.18655072596069383,2.9932914046121595,Q4_precision_dispersion,4,representational_certainty,Derived FearNetwork profile metric.,SAD lower than HC,True,False
Neural_TrialwiseEvidenceCertainty,placebo_SAD_vs_HC,23,28,0.30832944666804035,0.3514605951946873,-0.043131148526646956,-0.7569138706598426,-0.7452690418804605,-0.4503105590062112,-2.7769242013822013,0.007792121167304365,0.7251552795031055,phase2_extinction,phase2_ext_roi_by_roi,right_acc,-0.05080998903659005,0.001681447894447952,102,0.3541707263657298,2.9882599580712785,Q4_precision_dispersion,4,representational_certainty,Mean absolute trialwise distance from the safety/threat decision boundary.,SAD lower than HC,True,False
