phase,metric,time_form,n_subjects,n_trials,aic,bic,r2,"C(Group, Treatment(reference='HC'))[T.SAD]:trial_c beta","C(Group, Treatment(reference='HC'))[T.SAD]:trial_c p","C(Group, Treatment(reference='HC'))[T.SAD]:trial_c2 beta","C(Group, Treatment(reference='HC'))[T.SAD]:trial_c2 p","C(Group, Treatment(reference='HC'))[T.SAD]:C(late, Treatment(reference='early'))[T.late] beta","C(Group, Treatment(reference='HC'))[T.SAD]:C(late, Treatment(reference='early'))[T.late] p",min_group_time_p,q_within_time_form
phase2_extinction,CSR_CueThreatTarget_Proximity,linear,51,408,-136.6651240721436,-120.62005537452697,0.004130357526493156,0.016866786871818848,0.4145710211047632,,,,,0.4145710211047632,0.4319542760227607
phase2_extinction,CSR_CueThreatTarget_Proximity,quadratic,51,408,-132.93864168375728,-108.8710386373323,0.004797751163584607,0.016866786871818862,0.41572855705683465,0.006935233926637139,0.7109516499342912,,,0.41572855705683465,0.41572855705683465
phase2_extinction,CSR_CueThreatTarget_Proximity,early_late_bin,51,408,-137.48363673398433,-121.43856803636768,0.006126227174791055,,,,,0.020518818855220777,0.5811276898010833,0.5811276898010833,0.6685967515729674
phase2_extinction,CSR_to_HeldoutCSR_Distance,linear,51,408,-489.4429574262741,-473.39788872865745,0.007147933869271372,-0.01006674902722537,0.34906422913396007,,,,,0.34906422913396007,0.4319542760227607
phase2_extinction,CSR_to_HeldoutCSR_Distance,quadratic,51,408,-489.0982498514628,-465.03064680503786,0.016003218533930053,-0.010066749027225395,0.3502599396642655,-0.01429187196749895,0.2682993589139958,,,0.2682993589139958,0.3936135721200955
phase2_extinction,CSR_to_HeldoutCSR_Distance,early_late_bin,51,408,-488.9750795476499,-472.9300108500332,0.00600871824562621,,,,,-0.008570790054941787,0.640624208814172,0.640624208814172,0.6685967515729674
phase2_extinction,CSS_SafetyTarget_Proximity,linear,51,408,-128.95209765770835,-112.90702896009171,0.013013036215335005,-0.015502598133697424,0.4319542760227607,,,,,0.4319542760227607,0.4319542760227607
phase2_extinction,CSS_SafetyTarget_Proximity,quadratic,51,408,-130.4941190721364,-106.42651602571144,0.026329018141496907,-0.015502598133697436,0.43309628063878003,0.048158533052055044,0.01487407437704917,,,0.01487407437704917,0.05949629750819668
phase2_extinction,CSS_SafetyTarget_Proximity,early_late_bin,51,408,-129.7249776622731,-113.67990896465645,0.01488092943229824,,,,,-0.016726710329736747,0.6685967515729674,0.6685967515729674,0.6685967515729674
phase2_extinction,CSS_to_CSminus_Distance,linear,51,408,-507.784051504237,-491.73898280662036,0.009989897884970178,0.013942330241021754,0.2940120576853117,,,,,0.2940120576853117,0.4319542760227607
phase2_extinction,CSS_to_CSminus_Distance,quadratic,51,408,-509.6442346397588,-485.57663159333384,0.02410797197143688,0.013942330241021761,0.29521017909007163,-0.006204873502012173,0.6302456338872663,,,0.29521017909007163,0.3936135721200955
phase2_extinction,CSS_to_CSminus_Distance,early_late_bin,51,408,-507.05747289013914,-491.01240419252247,0.008225287488511923,,,,,0.015147411615713839,0.5353455526711588,0.5353455526711588,0.6685967515729674
phase3_reinstatement,CSR_CueThreatTarget_Proximity,linear,50,400,-1347.0237618478914,-1331.0579036594595,0.011351998066418068,-5.4033279745914356e-05,0.9749161244666351,,,,,0.9749161244666351,0.9749161244666351
phase3_reinstatement,CSR_CueThreatTarget_Proximity,quadratic,50,400,-1343.066657701349,-1319.1178704187012,0.01145801463125784,-5.4033279745911104e-05,0.9749795269482832,-1.0027930044895204e-05,0.9966626250040381,,,0.9749795269482832,0.9749795269482832
phase3_reinstatement,CSR_CueThreatTarget_Proximity,early_late_bin,50,400,-1347.3135416121117,-1331.3476834236799,0.012067964156742605,,,,,0.000709240659255113,0.8454961002039696,0.8454961002039696,0.9513458493818063
phase3_reinstatement,CSR_ShockTarget_Proximity,linear,50,400,-439.33613942079285,-423.3702812323609,0.01481407250044564,0.01460550317526583,0.1702243135015814,,,,,0.1702243135015814,0.40158697599445836
phase3_reinstatement,CSR_ShockTarget_Proximity,quadratic,50,400,-435.3523864766952,-411.4035991940473,0.014854087614876277,0.014605503175266071,0.17130716864751594,9.509424867393864e-06,0.999294345899375,,,0.17130716864751594,0.3029017138061463
phase3_reinstatement,CSR_ShockTarget_Proximity,early_late_bin,50,400,-438.15069873117943,-422.1848405427475,0.011890043098054415,,,,,0.004665578295617175,0.8264930159050745,0.8264930159050745,0.9513458493818063
phase3_reinstatement,CSR_to_HeldoutCSR_Distance,linear,50,400,-947.4587650617068,-931.4929068732748,0.015652787450821326,0.008085613505841832,0.15170314264943088,,,,,0.15170314264943088,0.40158697599445836
phase3_reinstatement,CSR_to_HeldoutCSR_Distance,quadratic,50,400,-943.4654686073095,-919.5166813246616,0.015669283853661176,0.008085613505841825,0.15274087617407994,-0.0006103913705585725,0.9142622163148804,,,0.15274087617407994,0.3029017138061463
phase3_reinstatement,CSR_to_HeldoutCSR_Distance,early_late_bin,50,400,-946.6807463268742,-930.7148881384422,0.013736322815923185,,,,,0.003328697634807409,0.75639304938934,0.75639304938934,0.9513458493818063
phase3_reinstatement,CSR_to_Shock_Distance,linear,50,400,-1088.7133606144184,-1072.7475024259866,0.017453037842252828,-0.006573922949170143,0.20079348799722918,,,,,0.20079348799722918,0.40158697599445836
phase3_reinstatement,CSR_to_Shock_Distance,quadratic,50,400,-1084.7295240154467,-1060.780736732799,0.0174927402915368,-0.006573922949170211,0.20193447587076419,-0.000629928725471388,0.9039101896602053,,,0.20193447587076419,0.3029017138061463
phase3_reinstatement,CSR_to_Shock_Distance,early_late_bin,50,400,-1087.4725923898832,-1071.5067342014513,0.014400523336686066,,,,,-0.0006276400015543769,0.9513458493818063,0.9513458493818063,0.9513458493818063
