AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
All subjects,Acquisition: All condition contrast,CS+ - CS-,HC vs 0,HC,53,0.019394439157173083,0.008064350507947848,2.4049598461846156,0.009884482983678684,0.3303466407458712
All subjects,Acquisition: All condition contrast,CS+ - CS-,SAD vs 0,SAD,51,0.011485429142610025,0.007699731201672373,1.491666246753575,0.07103474475205403,0.20887505373458423
All subjects,Acquisition: All condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,104,-0.007909010014563058,,-0.7093364979665197,0.47973512484931924,-0.1389614488987205
All subjects,Acquisition: All condition contrast,CSS - CS-,HC vs 0,HC,53,0.024636828946216518,0.008297395775148536,2.969224273959076,0.0022539060105051835,0.40785432076115546
All subjects,Acquisition: All condition contrast,CSS - CS-,SAD vs 0,SAD,51,0.013059716411401473,0.010124279142095037,1.2899403728509797,0.10150288573211307,0.18062778136868926
All subjects,Acquisition: All condition contrast,CSS - CS-,SAD vs HC,SAD-HC,104,-0.011577112534815045,,-0.8844249432789077,0.3786437635656803,-0.17408230099215974
All subjects,Acquisition: All condition contrast,CSR - CS-,HC vs 0,HC,53,0.014152049368129636,0.009584069062351423,1.4766222234063777,0.07290384084212777,0.2028296613462671
All subjects,Acquisition: All condition contrast,CSR - CS-,SAD vs 0,SAD,51,0.009911141873818585,0.007731721900135711,1.2818802851205267,0.10289847196100264,0.179499143336242
All subjects,Acquisition: All condition contrast,CSR - CS-,SAD vs HC,SAD-HC,104,-0.004240907494311051,,-0.3443980169384301,0.731282112025453,-0.06725368612928499
All subjects,Acquisition: Early condition contrast,CS+ - CS-,HC vs 0,HC,53,0.025650240648010213,0.011487907447822018,2.23280356013603,0.014946129079206161,0.30669915620692567
All subjects,Acquisition: Early condition contrast,CS+ - CS-,SAD vs 0,SAD,51,0.01609761467160015,0.01269737081727613,1.2677911752957252,0.10537238201622912,0.17752627334730675
All subjects,Acquisition: Early condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,104,-0.009552625976410063,,-0.5578845235688327,0.5781630553363944,-0.10960200405202312
All subjects,Acquisition: Early condition contrast,CSS - CS-,HC vs 0,HC,53,0.039120638837483686,0.01074458525080734,3.640963138576633,0.000312919526866023,0.5001247500312751
