AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
All subjects,Acquisition: late minus early discrimination,CS+ - CS-,HC vs 0,HC,53,-0.012511602981674261,0.012245981826578083,-1.0216904743823554,0.8441713637628527,-0.14033997974216392
All subjects,Acquisition: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,51,-0.009224371057980242,0.01290757812248352,-0.7146477031126736,0.7609248805313293,-0.10007069457650387
All subjects,Acquisition: late minus early discrimination,CS+ - CS-,SAD vs HC,SAD-HC,104,0.0032872319236940187,,0.1847547922157642,0.8537901271227215,0.03626359060458027
All subjects,Acquisition: late minus early discrimination,CSS - CS-,HC vs 0,HC,53,-0.02896761978253435,0.012185743214963497,-2.3771730022148776,0.9894201434693255,-0.3265298241878337
All subjects,Acquisition: late minus early discrimination,CSS - CS-,SAD vs 0,SAD,51,-0.021378783044569326,0.015263511206205027,-1.4006464669727023,0.9162522548808156,-0.1961297352466071
All subjects,Acquisition: late minus early discrimination,CSS - CS-,SAD vs HC,SAD-HC,104,0.007588836737965024,,0.38854977250848394,0.6984660832122054,0.07651617927192056
All subjects,Acquisition: late minus early discrimination,CSR - CS-,HC vs 0,HC,53,0.00394441381918584,0.017047537334420826,0.23137733866237914,0.40896486009327165,0.03178212172361121
All subjects,Acquisition: late minus early discrimination,CSR - CS-,SAD vs 0,SAD,51,0.0029300409286088457,0.015472451980349243,0.1893714669355664,0.425284168255901,0.02651730936330424
All subjects,Acquisition: late minus early discrimination,CSR - CS-,SAD vs HC,SAD-HC,104,-0.001014372890576994,,-0.044060906801672135,0.964942506970581,-0.008623263838020794
Physiological responders,Acquisition: late minus early discrimination,CS+ - CS-,HC vs 0,HC,32,-0.01812013865817365,0.019686522020048305,-0.9204337180392003,0.8177731306548937,-0.1627112309145663
Physiological responders,Acquisition: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,27,-0.034532483806322935,0.02092735206691667,-1.6501124316111715,0.944524692444927,-0.3175642855279526
Physiological responders,Acquisition: late minus early discrimination,CS+ - CS-,SAD vs HC,SAD-HC,59,-0.016412345148149286,,-0.5712268684121512,0.5701413372440904,-0.1489654804364591
Physiological responders,Acquisition: late minus early discrimination,CSS - CS-,HC vs 0,HC,32,-0.04339141603860142,0.019252804109973553,-2.253771232010994,0.9842872334134013,-0.3984142303495334
Physiological responders,Acquisition: late minus early discrimination,CSS - CS-,SAD vs 0,SAD,27,-0.0511901153101844,0.025664487117113388,-1.9945894526000567,0.9716646667004956,-0.38385891912714365
Physiological responders,Acquisition: late minus early discrimination,CSS - CS-,SAD vs HC,SAD-HC,59,-0.0077986992715829775,,-0.24307680292089115,0.8089369884492061,-0.06462452832243003
Physiological responders,Acquisition: late minus early discrimination,CSR - CS-,HC vs 0,HC,32,0.0071511387222541484,0.027762348520581997,0.25758406991226096,0.3992150784592344,0.04553486064014737
Physiological responders,Acquisition: late minus early discrimination,CSR - CS-,SAD vs 0,SAD,27,-0.01787485230246147,0.026304961202721196,-0.6795239941510482,0.7485943318849049,-0.13077445364797247
Physiological responders,Acquisition: late minus early discrimination,CSR - CS-,SAD vs HC,SAD-HC,59,-0.025025991024715616,,-0.6543555726408242,0.5155174527026409,-0.1689725305886649
Simple CS+ learners,Acquisition: late minus early discrimination,CS+ - CS-,HC vs 0,HC,21,-0.023414562084643993,0.022787596095136427,-1.027513476493529,0.8417768946865629,-0.22422182302946783
Simple CS+ learners,Acquisition: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,20,-0.06987021281051203,0.01923419484138225,-3.632603984035074,0.9991140224500097,-0.8122749443638986
Simple CS+ learners,Acquisition: late minus early discrimination,CS+ - CS-,SAD vs HC,SAD-HC,41,-0.04645565072586804,,-1.5578720691586228,0.12750530446066685,-0.4844160563525089
Simple CS+ learners,Acquisition: late minus early discrimination,CSS - CS-,HC vs 0,HC,21,-0.046480930866935326,0.02526934739624437,-1.8394195203412136,0.9596265769306906,-0.40139424698776077
Simple CS+ learners,Acquisition: late minus early discrimination,CSS - CS-,SAD vs 0,SAD,20,-0.08903322819875867,0.025868942046148,-3.4417034929349226,0.9986330857841041,-0.7695882968600954
Simple CS+ learners,Acquisition: late minus early discrimination,CSS - CS-,SAD vs HC,SAD-HC,41,-0.04255229733182334,,-1.1766897289207592,0.24646860142856233,-0.36763681009773175
Simple CS+ learners,Acquisition: late minus early discrimination,CSR - CS-,HC vs 0,HC,21,-0.0003481933023526449,0.03239264743284512,-0.010749146178141272,0.5042349552685577,-0.00234565600083227
