AnalysisSet,Phase,Window,Contrast,N,Mean_A,Mean_B,Mean_Difference,Median_Difference,Paired_t,p_one_sided_A_gt_B,Wilcoxon_p_one_sided_A_gt_B,Cohen_dz
All subjects,Extinction,All,CS+ - CS-,101,0.12290058074318008,0.12384351084074953,-0.0009429300975694594,0.00024773639739078535,-0.19098929387511113,0.5755393968446327,0.600127027478897,-0.019004145033768044
All subjects,Extinction,All,CSS - CS-,101,0.12720102365665242,0.12384351084074953,0.0033575128159029034,0.0,0.589299374845878,0.2784947307165564,0.2508405103481136,0.05863747941391456
All subjects,Extinction,All,CSR - CS-,101,0.11860013782970769,0.12384351084074953,-0.005243373011041822,-0.0004262752850023588,-1.023293624054377,0.8456809293777208,0.9021036188692947,-0.10182152124388644
All subjects,Extinction,Early,CS+ - CS-,101,0.1296399414692948,0.13179787190085354,-0.002157930431558736,0.0,-0.33779565587668087,0.6318873681972079,0.6067913972621439,-0.03361192402886729
All subjects,Extinction,Early,CSS - CS-,101,0.13685761154983012,0.13179787190085354,0.005059739648976558,0.0,0.7182966418203505,0.23712464743432382,0.19743502625544207,0.07147318722141925
All subjects,Extinction,Early,CSR - CS-,101,0.12242227138875954,0.13179787190085354,-0.009375600512094028,-0.0008154562418164202,-1.3112614602075259,0.9036138254287068,0.9512263357573851,-0.1304753918995544
All subjects,Extinction,Late,CS+ - CS-,101,0.11616122001706529,0.11588914978064548,0.00027207023641981587,-0.0008628266880754687,0.04144736712389447,0.4835109466657207,0.7544873530120106,0.004124167172456183
All subjects,Extinction,Late,CSS - CS-,101,0.11754443576347472,0.11588914978064548,0.0016552859828292505,0.0,0.19795240953949567,0.4217420722251176,0.6943187104018727,0.019697000938347684
All subjects,Extinction,Late,CSR - CS-,101,0.11477800427065585,0.11588914978064548,-0.0011111455099896187,0.0,-0.18709288313020866,0.5740165629924405,0.48540146507321014,-0.01861643767381687
Physiological responders,Extinction,All,CS+ - CS-,57,0.13925865647314692,0.14019120524463882,-0.0009325487714918745,0.0017881691487321438,-0.11677852248559022,0.5462733147580604,0.542708932104478,-0.015467693164241202
Physiological responders,Extinction,All,CSS - CS-,57,0.14335901467327597,0.14019120524463882,0.0031678094286371754,0.0016258143432857919,0.3372801964075124,0.3685833071740451,0.38787162539967335,0.04467385335390033
Physiological responders,Extinction,All,CSR - CS-,57,0.13515829827301787,0.14019120524463882,-0.005032906971620921,-0.004047259360315719,-0.6217327856712437,0.7316796886826626,0.8108356162239432,-0.08235051920697481
Physiological responders,Extinction,Early,CS+ - CS-,57,0.1504854641958122,0.15243542460452064,-0.0019499604087084292,0.0,-0.18862977111069618,0.5744675331416064,0.6309763943768963,-0.02498462353418901
Physiological responders,Extinction,Early,CSS - CS-,57,0.15750742900858802,0.15243542460452064,0.0050720044040673965,0.00128258399115036,0.4509110317544601,0.32689742773416086,0.3530739201278555,0.0597246251716366
Physiological responders,Extinction,Early,CSR - CS-,57,0.14346349938303637,0.15243542460452064,-0.008971925221484257,-0.015368352197869584,-0.7719559070165072,0.7783069361598108,0.8812741958811627,-0.1022480577070858
Physiological responders,Extinction,Late,CS+ - CS-,57,0.12803184875048165,0.12794698588475698,8.486286572468529e-05,0.0,0.008107999179872847,0.4967798195657064,0.5360188834331682,0.0010739307264798423
Physiological responders,Extinction,Late,CSS - CS-,57,0.12921060033796394,0.12794698588475698,0.0012636144532069578,0.0,0.09273087905838807,0.4632241603178029,0.6215832367045776,0.012282504981192027
Physiological responders,Extinction,Late,CSR - CS-,57,0.1268530971629994,0.12794698588475698,-0.0010938887217575887,3.971802136677749e-05,-0.1209294935521948,0.547910127071256,0.31464153009926255,-0.01601750271333706
Late-phase learners,Extinction,All,CS+ - CS-,17,0.15249442520381742,0.16349542960064634,-0.01100100439682891,0.003960920689511205,-0.8054242079467727,0.7838088665397797,0.5367431640625,-0.19534406369376398
Late-phase learners,Extinction,All,CSS - CS-,17,0.15368539207143023,0.16349542960064634,-0.009810037529216097,0.0032388311336882004,-0.5313341546679761,0.6987568374677753,0.4793803749689914,-0.1288674613055492
Late-phase learners,Extinction,All,CSR - CS-,17,0.1513034583362046,0.16349542960064634,-0.012191971264441721,-0.0004736457312614073,-0.9177156125527832,0.8138025139383895,0.7810167124169898,-0.2225787296960905
Late-phase learners,Extinction,Early,CS+ - CS-,17,0.17165111219522056,0.17151024481948585,0.0001408673757347003,0.004711093337280814,0.011799720676844332,0.4953656414521136,0.3979936076943137,0.0028618526296125824
Late-phase learners,Extinction,Early,CSS - CS-,17,0.16924819319898107,0.17151024481948585,-0.002262051620504803,0.00128258399115036,-0.19006537511585392,0.5741758201057476,0.5226462228908617,-0.04609762455148872
Late-phase learners,Extinction,Early,CSR - CS-,17,0.17405403119146007,0.17151024481948585,0.002543786371974202,0.0,0.13786562479245412,0.4460333651877302,0.45881579673350437,0.033437325480062424
Late-phase learners,Extinction,Late,CS+ - CS-,17,0.1333377382124143,0.15548061438180683,-0.02214287616939253,-0.017677669529663688,-0.8301249884978282,0.7906586921023648,0.9019459069529063,-0.2013348829435995
Late-phase learners,Extinction,Late,CSS - CS-,17,0.13812259094387944,0.15548061438180683,-0.017358023437927403,-0.000714459348701818,-0.5138153349797195,0.6927980841079988,0.6333901752769613,-0.1246185234225591
Late-phase learners,Extinction,Late,CSR - CS-,17,0.1285528854809492,0.15548061438180683,-0.02692772890085766,0.0,-1.2274560831162045,0.8812974578453031,0.8835104459093925,-0.2977018283232377
