AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
All subjects,Extinction: All condition contrast,CS+ - CS-,HC vs 0,HC,52,0.005969405545278131,0.006780003329117323,0.8804428634484577,0.19137483881353767,0.12209545727999051
All subjects,Extinction: All condition contrast,CS+ - CS-,SAD vs 0,SAD,49,-0.008278469963448531,0.007117688508822112,-1.163084048028749,0.8747274781894476,-0.166154864004107
All subjects,Extinction: All condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,101,-0.014247875508726662,,-1.4494200625853844,0.15040035793084797,-0.28873631097146973
All subjects,Extinction: All condition contrast,CSS - CS-,HC vs 0,HC,52,0.011398187248167858,0.00799864550756678,1.425014677470715,0.08012215147988606,0.19761398030420932
All subjects,Extinction: All condition contrast,CSS - CS-,SAD vs 0,SAD,49,-0.005175447806092559,0.008019348859595972,-0.6453700788811059,0.7391197389859165,-0.0921957255544437
All subjects,Extinction: All condition contrast,CSS - CS-,SAD vs HC,SAD-HC,101,-0.01657363505426042,,-1.4632693305008022,0.14656488982954788,-0.29109307242241783
All subjects,Extinction: All condition contrast,CSR - CS-,HC vs 0,HC,52,0.0005406238423884033,0.006743495150382989,0.08016967912517878,0.46820803719690024,0.01111753418551258
All subjects,Extinction: All condition contrast,CSR - CS-,SAD vs 0,SAD,49,-0.01138149212080451,0.00774256830591612,-1.4699892427307197,0.9259552699547114,-0.2099984632472457
All subjects,Extinction: All condition contrast,CSR - CS-,SAD vs HC,SAD-HC,101,-0.011922115963192913,,-1.1611478681615695,0.24845212256975446,-0.23192954385866765
All subjects,Extinction: Early condition contrast,CS+ - CS-,HC vs 0,HC,52,0.004529438480922764,0.009720041172675314,0.46598963939121835,0.32160353285729937,0.06462113610230813
All subjects,Extinction: Early condition contrast,CS+ - CS-,SAD vs 0,SAD,49,-0.009254730093784004,0.008165719929581042,-1.1333636438176047,0.8686545909731803,-0.16190909197394351
All subjects,Extinction: Early condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,101,-0.013784168574706768,,-1.0858113960617053,0.280252528621813,-0.21487909230708596
All subjects,Extinction: Early condition contrast,CSS - CS-,HC vs 0,HC,52,0.010655424132444689,0.01099408913376982,0.9691957198814339,0.1685108150191309,0.13440326399972088
All subjects,Extinction: Early condition contrast,CSS - CS-,SAD vs 0,SAD,49,-0.0008785377620508511,0.00868107775685423,-0.10120146215223026,0.5400939529142168,-0.014457351736032893
All subjects,Extinction: Early condition contrast,CSS - CS-,SAD vs HC,SAD-HC,101,-0.01153396189449554,,-0.8233691398324176,0.41235747617968277,-0.1626560281017565
All subjects,Extinction: Early condition contrast,CSR - CS-,HC vs 0,HC,52,-0.0015965471705991533,0.01011937138486813,-0.15777137826827164,0.5623700142666386,-0.02187895362103378
All subjects,Extinction: Early condition contrast,CSR - CS-,SAD vs 0,SAD,49,-0.01763092242551715,0.010065492471292214,-1.751620447365322,0.9568866914812671,-0.25023149248076026
All subjects,Extinction: Early condition contrast,CSR - CS-,SAD vs HC,SAD-HC,101,-0.016034375254917996,,-1.1234135800040552,0.2639804345863343,-0.2234313585426434
All subjects,Extinction: Late condition contrast,CS+ - CS-,HC vs 0,HC,52,0.00740937260963349,0.007692178379540616,0.9632346318619806,0.1699874678301524,0.13357660982619424
All subjects,Extinction: Late condition contrast,CS+ - CS-,SAD vs 0,SAD,49,-0.007302209833113064,0.010770148161029973,-0.6780045848890844,0.7494878699666985,-0.0968577978412978
All subjects,Extinction: Late condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,101,-0.014711582442746556,,-1.111564980075825,0.26935543874443285,-0.22329232213827613
All subjects,Extinction: Late condition contrast,CSS - CS-,HC vs 0,HC,52,0.012140950363891023,0.0106402649597253,1.1410383491243874,0.12959185297789028,0.1582335490399523
All subjects,Extinction: Late condition contrast,CSS - CS-,SAD vs 0,SAD,49,-0.009472357850134262,0.012946086987872668,-0.7316772905208776,0.7660385646769813,-0.10452532721726822
All subjects,Extinction: Late condition contrast,CSS - CS-,SAD vs HC,SAD-HC,101,-0.021613308214025285,,-1.289763278549758,0.20028815592139437,-0.2580595831161042
All subjects,Extinction: Late condition contrast,CSR - CS-,HC vs 0,HC,52,0.0026777948553759544,0.006885610883553718,0.38889720907288966,0.34948558235638016,0.053930339546043954
All subjects,Extinction: Late condition contrast,CSR - CS-,SAD vs 0,SAD,49,-0.005132061816091863,0.00986668245942125,-0.5201405677337361,0.6973217787034478,-0.07430579539053371
All subjects,Extinction: Late condition contrast,CSR - CS-,SAD vs HC,SAD-HC,101,-0.0078098566714678175,,-0.6491038519429565,0.5179857226113236,-0.13047468771143333
Physiological responders,Extinction: All condition contrast,CS+ - CS-,HC vs 0,HC,31,0.011646487891939951,0.010981727850175343,1.0605332831803873,0.14868299769185667,0.19047740063506063
Physiological responders,Extinction: All condition contrast,CS+ - CS-,SAD vs 0,SAD,26,-0.015930630947122125,0.011138569370714994,-1.430222357729907,0.9174832748884959,-0.2804896811862106
