AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
All subjects,Extinction: late minus early discrimination,CS+ - CS-,HC vs 0,HC,52,0.0028799341287107276,0.011109628106781195,0.2592286709356948,0.601748834424665,0.03594854865880881
All subjects,Extinction: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,49,0.0019525202606709379,0.012755555178953024,0.1530721503908073,0.5605084658201189,0.02186745005582961
All subjects,Extinction: late minus early discrimination,CS+ - CS-,SAD vs HC,SAD-HC,101,-0.0009274138680397898,,-0.054826861705914866,0.9563899942907932,-0.010951205478554464
All subjects,Extinction: late minus early discrimination,CSS - CS-,HC vs 0,HC,52,0.0014855262314463363,0.01456904762728142,0.10196453944351166,0.5404076654317205,0.014139937509332758
All subjects,Extinction: late minus early discrimination,CSS - CS-,SAD vs 0,SAD,49,-0.008593820088083416,0.0151223256845175,-0.5682869333307587,0.28624463988706195,-0.0811838476186798
All subjects,Extinction: late minus early discrimination,CSS - CS-,SAD vs HC,SAD-HC,101,-0.010079346319529753,,-0.4800005018012875,0.6322907036350371,-0.09558751875787583
All subjects,Extinction: late minus early discrimination,CSR - CS-,HC vs 0,HC,52,0.00427434202597511,0.010850240622043697,0.39393983736095395,0.6523661047255953,0.054629626271264005
All subjects,Extinction: late minus early discrimination,CSR - CS-,SAD vs 0,SAD,49,0.012498860609425289,0.012551560341339042,0.9958013401935228,0.83782981861769,0.1422573343133604
All subjects,Extinction: late minus early discrimination,CSR - CS-,SAD vs HC,SAD-HC,101,0.008224518583450179,,0.4957143911427941,0.6212281799679701,0.09903680448864206
Physiological responders,Extinction: late minus early discrimination,CS+ - CS-,HC vs 0,HC,31,0.004731650221139083,0.01785717703707145,0.2649719052074239,0.6035783621214569,0.04759035906338934
Physiological responders,Extinction: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,26,-0.0011806242389470702,0.020392726358739965,-0.05789437950463525,0.47714651499066474,-0.01135402195467236
Physiological responders,Extinction: late minus early discrimination,CS+ - CS-,SAD vs HC,SAD-HC,57,-0.0059122744600861536,,-0.2181158047760149,0.8281864855862278,-0.05823643875056616
Physiological responders,Extinction: late minus early discrimination,CSS - CS-,HC vs 0,HC,31,0.00989191744219216,0.022797401587081538,0.4339054784119586,0.6662691741522975,0.07793172450125209
Physiological responders,Extinction: late minus early discrimination,CSS - CS-,SAD vs 0,SAD,26,-0.020143371842576994,0.023882721987434553,-0.8434286449080239,0.20349336359216474,-0.16540996610419748
Physiological responders,Extinction: late minus early discrimination,CSS - CS-,SAD vs HC,SAD-HC,57,-0.030035289284769152,,-0.909698478640222,0.36702620588695345,-0.24102446191359622
Physiological responders,Extinction: late minus early discrimination,CSR - CS-,HC vs 0,HC,31,-0.0004286169999139997,0.017406055728284454,-0.0246245908093645,0.4902587366251367,-0.0044227070696016575
Physiological responders,Extinction: late minus early discrimination,CSR - CS-,SAD vs 0,SAD,26,0.017782123364682847,0.020060940858331867,0.8864052533855826,0.8080765707722384,0.1738383724601632
Physiological responders,Extinction: late minus early discrimination,CSR - CS-,SAD vs HC,SAD-HC,57,0.018210740364596845,,0.6856557820102858,0.4959658778536594,0.18321846162590713
