AnalysisSet,Subject,Phase,CSplus_minus_CSminus,CSS_minus_CSminus,CSR_minus_CSminus
All subjects,N101,Acquisition,0.04163221330370784,0.07941853639818341,0.0038458902092322646
All subjects,N102,Acquisition,0.0,0.0,0.0
All subjects,N103,Acquisition,0.010143221577095185,-0.011383416465740537,0.03166985961993091
All subjects,N104,Acquisition,-0.018114220932736798,-0.018114220932736798,-0.018114220932736798
All subjects,N105,Acquisition,0.0,0.0,0.0
All subjects,N106,Acquisition,0.0,0.0,0.0
All subjects,N108,Acquisition,0.023041372062208826,-0.012821035293444905,0.05890377941786255
All subjects,N109,Acquisition,0.02095008318365607,0.02883230070328248,0.013067865664029676
All subjects,N110,Acquisition,-0.0027583026954343948,-0.030002126562266307,0.024485521171397545
All subjects,N111,Acquisition,0.02542189219271873,0.051816371282160156,-0.0009725868967226381
All subjects,N112,Acquisition,0.011524430571616109,0.023048861143232218,0.0
All subjects,N113,Acquisition,0.04253606688624616,0.03112474899497183,0.05394738477752049
All subjects,N114,Acquisition,0.12036085338749075,0.13082364990910822,0.10989805686587323
All subjects,N115,Acquisition,0.05385863295583808,0.054916952665160355,0.052800313246515816
All subjects,N117,Acquisition,0.03297403374234585,0.05938830915528691,0.00655975832940477
All subjects,N118,Acquisition,0.030405994373845988,-0.006292322646748158,0.06710431139444015
All subjects,N120,Acquisition,0.04078026388942271,0.06073921984596389,0.02082130793288155
All subjects,N121,Acquisition,0.027297375257872347,0.07715474609599918,-0.02255999558025447
All subjects,N122,Acquisition,0.06328584898898065,0.04362875455191159,0.08294294342604974
All subjects,N123,Acquisition,0.012022115038544591,0.0,0.024044230077089182
All subjects,N124,Acquisition,0.019719379504845258,0.022511041168803925,0.01692771784088659
All subjects,N125,Acquisition,-0.021286732957408003,-0.021286732957408003,-0.021286732957408003
All subjects,N127,Acquisition,0.0,0.0,0.0
All subjects,N128,Acquisition,-0.12394541056976041,-0.13066250629863338,-0.11722831484088744
All subjects,N129,Acquisition,0.09292850955267762,0.051946054991511614,0.13391096411384373
All subjects,N130,Acquisition,0.008994482030104549,0.06126614449855888,-0.043277180438349785
All subjects,N131,Acquisition,-0.04560202273601626,-0.04560202273601626,-0.04560202273601626
All subjects,N132,Acquisition,0.0,0.0,0.0
All subjects,N133,Acquisition,0.016535945694153693,0.0,0.033071891388307385
