AnalysisSet,Phase,Window,Contrast,N,Mean_A,Mean_B,Mean_Difference,Median_Difference,Paired_t,p_one_sided_A_gt_B,Wilcoxon_p_one_sided_A_gt_B,Cohen_dz
All subjects,Reinstatement,All,CS+ - CS-,101,0.17415784447165383,0.1609932205523707,0.013164623919283115,0.00309314352176987,2.9450490396704416,0.002008170619906875,0.011021384454399895,0.2930433321464303
All subjects,Reinstatement,All,CSS - CS-,101,0.17249507281111937,0.1609932205523707,0.011501852258748679,0.004534433998669624,2.264505263789281,0.012850710603184035,0.011295194165127333,0.22532669548966164
All subjects,Reinstatement,All,CSR - CS-,101,0.1758206161321882,0.1609932205523707,0.014827395579817554,0.00691438080758533,2.7624063304377757,0.0034147007404006727,0.011432915993460755,0.27486970332570915
All subjects,Reinstatement,Early,CS+ - CS-,101,0.2119370323361614,0.19593486653375278,0.01600216580240862,0.0040606498350991005,2.121083082118088,0.018193688159863903,0.048797936374593544,0.21105565502327264
All subjects,Reinstatement,Early,CSS - CS-,101,0.20783556336924694,0.19593486653375278,0.011900696835494102,0.0007659990376021608,1.3748237660855287,0.08612941372594886,0.08302871091627978,0.136800077723966
All subjects,Reinstatement,Early,CSR - CS-,101,0.21603850130307595,0.19593486653375278,0.02010363476932315,0.010257163674927905,2.352771389680899,0.010295971538512541,0.0233109779957539,0.23410950327945332
All subjects,Reinstatement,Late,CS+ - CS-,101,0.13637865660714624,0.1260515745709886,0.010327082036157603,0.0017160704835382998,2.0193492882447868,0.023063420685791577,0.016111032589017586,0.2009327641827634
All subjects,Reinstatement,Late,CSS - CS-,101,0.13715458225299187,0.1260515745709886,0.01110300768200326,0.0007828179893880072,1.9570150078093245,0.026566971374652096,0.021422841648296977,0.19473027145693703
All subjects,Reinstatement,Late,CSR - CS-,101,0.1356027309613006,0.1260515745709886,0.009551156390311955,0.0024474783166264294,1.492307825497257,0.06938333333207712,0.04114720205812238,0.14849017856111696
Physiological responders,Reinstatement,All,CS+ - CS-,57,0.2070370186153785,0.1896985262265639,0.01733849238881456,0.007865889385578695,2.7521052773370633,0.003982417106214762,0.006135999575193745,0.3645252489882406
Physiological responders,Reinstatement,All,CSS - CS-,57,0.2061969148489635,0.1896985262265639,0.016498388622399572,0.009737077142378911,2.2842424081948978,0.01308472418668668,0.004813154477099125,0.30255529810343196
Physiological responders,Reinstatement,All,CSR - CS-,57,0.20787712238179346,0.1896985262265639,0.018178596155229546,0.00691438080758533,2.267316553903832,0.013625102000480952,0.028677168626958818,0.30031341393548344
Physiological responders,Reinstatement,Early,CS+ - CS-,57,0.2622669987303029,0.24047092495585312,0.0217960737744498,0.007486314919446291,1.8525849621712185,0.034607285440787845,0.06564164592004017,0.2453808726607899
Physiological responders,Reinstatement,Early,CSS - CS-,57,0.26237967865417816,0.24047092495585312,0.021908753698325067,0.021199807660908752,1.6549906646331034,0.051760468367663987,0.0320373913220023,0.21920886859471278
Physiological responders,Reinstatement,Early,CSR - CS-,57,0.26215431880642764,0.24047092495585312,0.021683393850574533,0.010438443806086606,1.6318735615502726,0.05415880692689882,0.08785606350050651,0.216146933491231
Physiological responders,Reinstatement,Late,CS+ - CS-,57,0.1518070385004541,0.13892612749727476,0.01288091100317931,0.005980073572621647,1.6076324509421944,0.05676996902873804,0.018720565534658683,0.2129361199540718
Physiological responders,Reinstatement,Late,CSS - CS-,57,0.15001415104374888,0.13892612749727476,0.011088023546474078,0.0007828179893880072,1.321897538939627,0.09578842579410135,0.04985334445695953,0.17508960630501844
Physiological responders,Reinstatement,Late,CSR - CS-,57,0.15359992595715932,0.13892612749727476,0.014673798459884544,0.002733895388037838,1.3983209077189007,0.08376509623228229,0.05294630783298452,0.18521212878342472
Late-phase learners,Reinstatement,All,CS+ - CS-,17,0.2294740754912005,0.20981765804290528,0.01965641744829522,0.01885044785273088,1.7499930238051795,0.04963458202497248,0.05447043578855735,0.4244356518378115
Late-phase learners,Reinstatement,All,CSS - CS-,17,0.22905724847129302,0.20981765804290528,0.01923959042838773,0.01071425078757765,1.5782178459189635,0.06703986035404093,0.044201239963197074,0.38277405170345086
Late-phase learners,Reinstatement,All,CSR - CS-,17,0.22989090251110797,0.20981765804290528,0.020073244468202703,0.026128206937467036,1.24978982086318,0.11467455735132119,0.08133665753597341,0.303118555367098
Late-phase learners,Reinstatement,Early,CS+ - CS-,17,0.29513366696590476,0.2754904132519273,0.01964325371397748,0.01764796349308384,1.0164633853049776,0.16226691275518873,0.17598942083568098,0.2465285824814897
Late-phase learners,Reinstatement,Early,CSS - CS-,17,0.29893525290015316,0.2754904132519273,0.023444839648225857,0.03427727694141505,1.165053003343542,0.13053699248694844,0.04976984407370063,0.2825668583663829
Late-phase learners,Reinstatement,Early,CSR - CS-,17,0.29133208103165636,0.2754904132519273,0.01584166777972909,0.010438443806086606,0.640353171876143,0.2655036950685915,0.18968733440443986,0.1553084567849787
Late-phase learners,Reinstatement,Late,CS+ - CS-,17,0.1638144840164962,0.14414490283388326,0.01966958118261295,0.005278554653275341,1.2454204205370818,0.11545410763782255,0.05471057940961463,0.3020588201279738
Late-phase learners,Reinstatement,Late,CSS - CS-,17,0.15917924404243286,0.14414490283388326,0.01503434120854961,0.0,1.1232030571489466,0.1389613924743217,0.15544841425830602,0.27241675550833977
Late-phase learners,Reinstatement,Late,CSR - CS-,17,0.16844972399055955,0.14414490283388326,0.024304821156676308,0.004173131692777374,1.0155378620972806,0.16248057215738998,0.15014493981266203,0.24630411013182524
