AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
All subjects,Reinstatement: early return over late extinction,CS+ - CS-,HC vs 0,HC,52,0.002764426612403542,0.01234611497794732,0.2239106486000958,0.4118606982331246,0.031050820178847867
All subjects,Reinstatement: early return over late extinction,CS+ - CS-,SAD vs 0,SAD,49,0.0294895809861201,0.016356674628526236,1.8029080883402742,0.03884114256894134,0.25755829833432486
All subjects,Reinstatement: early return over late extinction,CS+ - CS-,SAD vs HC,SAD-HC,101,0.02672515437371656,,1.304104679984209,0.19550152114573496,0.2615678899104701
All subjects,Reinstatement: early return over late extinction,CSS - CS-,HC vs 0,HC,52,-0.0021770727979907112,0.01513376154788316,-0.14385536544252148,0.5569091927756787,-0.019949149859754677
All subjects,Reinstatement: early return over late extinction,CSS - CS-,SAD vs 0,SAD,49,0.023428454726829927,0.01988016122796902,1.1784841409570102,0.12220647628046806,0.16835487727957285
All subjects,Reinstatement: early return over late extinction,CSS - CS-,SAD vs HC,SAD-HC,101,0.025605527524820638,,1.0248349157546555,0.30815792133836856,0.20550463221783885
All subjects,Reinstatement: early return over late extinction,CSR - CS-,HC vs 0,HC,52,0.007705926022797789,0.012601982975189364,0.6114851954624225,0.2717973342651975,0.08479773947795709
All subjects,Reinstatement: early return over late extinction,CSR - CS-,SAD vs 0,SAD,49,0.03555070724541029,0.01666096017803806,2.133773015811663,0.018999413234403604,0.30482471654452326
All subjects,Reinstatement: early return over late extinction,CSR - CS-,SAD vs HC,SAD-HC,101,0.0278447812226125,,1.332915593384958,0.18589830804502888,0.2673308888961804
Physiological responders,Reinstatement: early return over late extinction,CS+ - CS-,HC vs 0,HC,31,-0.005481388478371966,0.018383935253848776,-0.29816186810299,0.6161825198045082,-0.05355145237350494
Physiological responders,Reinstatement: early return over late extinction,CS+ - CS-,SAD vs 0,SAD,26,0.054133156331802386,0.027938273150909253,1.9375985065147312,0.03202366738785179,0.3799943305471866
Physiological responders,Reinstatement: early return over late extinction,CS+ - CS-,SAD vs HC,SAD-HC,57,0.05961454481017435,,1.7825063941788704,0.08150528870105457,0.487736987548032
Physiological responders,Reinstatement: early return over late extinction,CSS - CS-,HC vs 0,HC,31,-0.009738799127963828,0.023236014730952353,-0.41912519167888623,0.6609447171493221,-0.07527710663851628
Physiological responders,Reinstatement: early return over late extinction,CSS - CS-,SAD vs 0,SAD,26,0.056872142689946566,0.03268414707044166,1.740052832566637,0.04707403872531637,0.3412524364592185
