AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
All subjects,Reinstatement: All condition contrast,CS+ - CS-,HC vs 0,HC,52,0.010282118234174622,0.0059250786566041255,1.7353555674259475,0.0443586871417358,0.24065051844292923
All subjects,Reinstatement: All condition contrast,CS+ - CS-,SAD vs 0,SAD,49,0.016223609544296205,0.006770714566928757,2.396144363187259,0.010257093858870848,0.34230633759817986
All subjects,Reinstatement: All condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,101,0.005941491310121583,,0.6603730874395588,0.5105887300459467,0.13188542458189118
All subjects,Reinstatement: All condition contrast,CSS - CS-,HC vs 0,HC,52,0.011415718321270162,0.006307660590177058,1.809818102617617,0.03810920228748128,0.25097661416349104
All subjects,Reinstatement: All condition contrast,CSS - CS-,SAD vs 0,SAD,49,0.011593259702603432,0.008119188297396574,1.4278840787965001,0.07989975933031235,0.20398343982807146
All subjects,Reinstatement: All condition contrast,CSS - CS-,SAD vs HC,SAD-HC,101,0.00017754138133327033,,0.01726816047084571,0.9862601153807283,0.0034606901542490547
All subjects,Reinstatement: All condition contrast,CSR - CS-,HC vs 0,HC,52,0.00914851814707909,0.007388671264571364,1.2381817812014702,0.11065907201312022,0.1717049192487398
All subjects,Reinstatement: All condition contrast,CSR - CS-,SAD vs 0,SAD,49,0.020853959385988986,0.007790648545430852,2.676793756563393,0.005070580340471238,0.3823991080804847
All subjects,Reinstatement: All condition contrast,CSR - CS-,SAD vs HC,SAD-HC,101,0.011705441238909896,,1.0901800888886837,0.2782985217028453,0.21720124371714047
All subjects,Reinstatement: Early condition contrast,CS+ - CS-,HC vs 0,HC,52,0.01017379922203703,0.00996274661418833,1.0211841790242995,0.15599349246326388,0.1416127661217196
All subjects,Reinstatement: Early condition contrast,CS+ - CS-,SAD vs 0,SAD,49,0.02218737115300704,0.01144331547151969,1.93889360196591,0.029202797363806002,0.2769848002808443
All subjects,Reinstatement: Early condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,101,0.012013571930970008,,0.7917973294584477,0.43042530261575385,0.15815673880426298
All subjects,Reinstatement: Early condition contrast,CSS - CS-,HC vs 0,HC,52,0.00996387756590031,0.010931464400898535,0.9114860736390733,0.1831638407640504,0.1264003759760394
All subjects,Reinstatement: Early condition contrast,CSS - CS-,SAD vs 0,SAD,49,0.013956096876695662,0.013669389210367314,1.0209744314040674,0.15619247765615468,0.14585349020058105
All subjects,Reinstatement: Early condition contrast,CSS - CS-,SAD vs HC,SAD-HC,101,0.003992219310795351,,0.22808991101927137,0.8200762089780471,0.045673189439970535
