AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
All subjects,Reinstatement: late minus early discrimination,CS+ - CS-,HC vs 0,HC,52,0.00021663802427518474,0.012812444481062373,0.01690840686922701,0.49328783075727817,0.002344774152054059
All subjects,Reinstatement: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,49,-0.011927523217421673,0.01354788824384079,-0.8803972252165738,0.8084844795746718,-0.12577103217379626
All subjects,Reinstatement: late minus early discrimination,CS+ - CS-,SAD vs HC,SAD-HC,101,-0.012144161241696858,,-0.6512724026122342,0.5163907435742504,-0.12976682814404633
All subjects,Reinstatement: late minus early discrimination,CSS - CS-,HC vs 0,HC,52,0.002903681510739691,0.01324908668517058,0.21916088102810283,0.41369974324648295,0.030392145927795686
All subjects,Reinstatement: late minus early discrimination,CSS - CS-,SAD vs 0,SAD,49,-0.00472567434818446,0.01668182817311394,-0.2832827612863689,0.6109108446969043,-0.0404689658980527
All subjects,Reinstatement: late minus early discrimination,CSS - CS-,SAD vs HC,SAD-HC,101,-0.0076293558589241505,,-0.35813374845086127,0.7210559282309383,-0.07172767349097091
All subjects,Reinstatement: late minus early discrimination,CSR - CS-,HC vs 0,HC,52,-0.0024704054621893096,0.014738252345620899,-0.16761861611925302,0.5662268842741139,-0.02324451981308775
All subjects,Reinstatement: late minus early discrimination,CSR - CS-,SAD vs 0,SAD,49,-0.019129372086658897,0.01536507529759647,-1.2449904550517412,0.8904103309088961,-0.17785577929310586
All subjects,Reinstatement: late minus early discrimination,CSR - CS-,SAD vs HC,SAD-HC,101,-0.016658966624469588,,-0.782446085225492,0.43582965274811336,-0.15583713596755824
Physiological responders,Reinstatement: late minus early discrimination,CS+ - CS-,HC vs 0,HC,31,0.005836768874962438,0.02083645135809495,0.28012298133937563,0.390652858412608,0.050311572668099186
Physiological responders,Reinstatement: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,26,-0.02650400434947128,0.023799893751935877,-1.1136185995500694,0.8619821580887814,-0.21839857576175667
Physiological responders,Reinstatement: late minus early discrimination,CS+ - CS-,SAD vs HC,SAD-HC,57,-0.03234077322443372,,-1.0224021294889127,0.31129027527831704,-0.27298408784095674
Physiological responders,Reinstatement: late minus early discrimination,CSS - CS-,HC vs 0,HC,31,0.0036275092687286753,0.02122120493768684,0.1709379500070971,0.432710138086625,0.030701362138862428
Physiological responders,Reinstatement: late minus early discrimination,CSS - CS-,SAD vs 0,SAD,26,-0.028047477153311334,0.02685716437336008,-1.0443201211938795,0.8468346309601898,-0.20480802601558357
Physiological responders,Reinstatement: late minus early discrimination,CSS - CS-,SAD vs HC,SAD-HC,57,-0.03167498642204001,,-0.9253756742864027,0.35923422742165223,-0.24932918140584168
Physiological responders,Reinstatement: late minus early discrimination,CSR - CS-,HC vs 0,HC,31,0.008046028481196225,0.023899604962109623,0.33665947591821627,0.3693586907893571,0.06046582685246698
Physiological responders,Reinstatement: late minus early discrimination,CSR - CS-,SAD vs 0,SAD,26,-0.024960531545631236,0.02668237606628509,-0.9354688459387427,0.820752166601633,-0.1834605346076835
Physiological responders,Reinstatement: late minus early discrimination,CSR - CS-,SAD vs HC,SAD-HC,57,-0.03300656002682746,,-0.9214317862424904,0.3610118780121404,-0.24552399420217638
Simple CS+ learners,Reinstatement: late minus early discrimination,CS+ - CS-,HC vs 0,HC,20,-0.005783684194159318,0.025550385479612418,-0.22636387223098178,0.5883320726236814,-0.05061650059585522
Simple CS+ learners,Reinstatement: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,19,-0.04718368846664749,0.02730031752319595,-1.728320134978557,0.9494768251969592,-0.396503832129374
Simple CS+ learners,Reinstatement: late minus early discrimination,CS+ - CS-,SAD vs HC,SAD-HC,39,-0.041400004272488175,,-1.1072015392383416,0.27541483393997784,-0.3550841337076965
Simple CS+ learners,Reinstatement: late minus early discrimination,CSS - CS-,HC vs 0,HC,20,-0.010395496536804308,0.02468804030629843,-0.42107418846655886,0.6607871065566226,-0.09415505089817836
Simple CS+ learners,Reinstatement: late minus early discrimination,CSS - CS-,SAD vs 0,SAD,19,-0.04268456957220039,0.03414430484685822,-1.250122670929937,0.8863680231525176,-0.28679780997961823
Simple CS+ learners,Reinstatement: late minus early discrimination,CSS - CS-,SAD vs HC,SAD-HC,39,-0.03228907303539608,,-0.7663297365054472,0.44890216374856917,-0.24738549635769674
Simple CS+ learners,Reinstatement: late minus early discrimination,CSR - CS-,HC vs 0,HC,20,-0.0011718718515143125,0.03042381204630075,-0.03851824517357946,0.5151618347593542,-0.008612941458212686
Simple CS+ learners,Reinstatement: late minus early discrimination,CSR - CS-,SAD vs 0,SAD,19,-0.05168280736109462,0.027305543109877446,-1.8927588128580013,0.9627079252435552,-0.4342286520917917
Simple CS+ learners,Reinstatement: late minus early discrimination,CSR - CS-,SAD vs HC,SAD-HC,39,-0.0505109355095803,,-1.2355805568091465,0.22445269275405405,-0.3944488865361214
Habituation-adjusted CS+ learners,Reinstatement: late minus early discrimination,CS+ - CS-,HC vs 0,HC,14,-0.03091297688458286,0.029410198509374475,-1.0510971857170355,0.8438195025605494,-0.2809175392253891
Habituation-adjusted CS+ learners,Reinstatement: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,16,-0.0485591473551226,0.03067130011710607,-1.583211248617403,0.9328871416108637,-0.39580281215435076
Habituation-adjusted CS+ learners,Reinstatement: late minus early discrimination,CS+ - CS-,SAD vs HC,SAD-HC,30,-0.017646170470539742,,-0.41526857069742923,0.6811131172976999,-0.15084055479937802
Habituation-adjusted CS+ learners,Reinstatement: late minus early discrimination,CSS - CS-,HC vs 0,HC,14,-0.028523037495450255,0.03301704692498297,-0.8638882078175125,0.7983462307241636,-0.230883835294807
Habituation-adjusted CS+ learners,Reinstatement: late minus early discrimination,CSS - CS-,SAD vs 0,SAD,16,-0.052975525078492014,0.0400134159488314,-1.3239440778122114,0.897328007258761,-0.33098601945305284
Habituation-adjusted CS+ learners,Reinstatement: late minus early discrimination,CSS - CS-,SAD vs HC,SAD-HC,30,-0.02445248758304176,,-0.47135720864322195,0.6410889693297672,-0.16950959754702755
Habituation-adjusted CS+ learners,Reinstatement: late minus early discrimination,CSR - CS-,HC vs 0,HC,14,-0.03330291627371543,0.02940159856140026,-1.1326906666033116,0.8610982086890836,-0.3027243142590129
Habituation-adjusted CS+ learners,Reinstatement: late minus early discrimination,CSR - CS-,SAD vs 0,SAD,16,-0.04414276963175319,0.025830335742768384,-1.7089506722386163,0.9459688657548659,-0.4272376680596541
Habituation-adjusted CS+ learners,Reinstatement: late minus early discrimination,CSR - CS-,SAD vs HC,SAD-HC,30,-0.010839853358037763,,-0.2769760308150153,0.7839145828132519,-0.10180235633934791
Late-phase sensitivity CS+ learners,Reinstatement: late minus early discrimination,CS+ - CS-,HC vs 0,HC,11,0.024551745293606042,0.03622232644425747,0.6778069688977244,0.2566353876274448,0.20436649055653128
Late-phase sensitivity CS+ learners,Reinstatement: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,11,-0.04481875130810659,0.021115488991616145,-2.1225533221561563,0.9701169348829657,-0.6399739061013018
